preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 165.000,Rua Doutor Paula Xavier,"Casa para comprar com 56 m², 2 quartos, 1 banheiro, 2 vagas emCentro, Ponta Grossa",2.0,1.0,56.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-centro-ponta-grossa-56m2-id-2559401753/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:11:18
R$ 160.000,Rua Doutor Paula Xavier,"Casa para comprar com 51 m², 2 quartos, 1 banheiro, 2 vagas emCentro, Ponta Grossa",2.0,1.0,51.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-centro-ponta-grossa-51m2-id-2559401829/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:11:18
R$ 290.000,Rua Doutor Paula Xavier,"Casa para comprar com 76 m², 3 quartos, 2 banheiros, 2 vagas emCentro, Ponta Grossa",3.0,2.0,76.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-centro-ponta-grossa-76m2-id-2559398435/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:11:18
R$ 360.000,Rua Hanna Mtamos Razouk,"Casa para comprar com 168 m², 3 quartos, 3 banheiros, 4 vagas emNeves, Ponta Grossa",3.0,3.0,168.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-neves-ponta-grossa-168m2-id-2559401509/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:11:18
R$ 290.000,,"Lote/Terreno para comprar com 390 m² emJardim Carvalho, Ponta Grossa",,,390.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-390m2-id-2857539382/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:11:18
R$ 550.000,Rua Aderly Turek,"Sobrado para comprar com 144 m², 3 quartos, 3 banheiros, 1 vaga emCará-cará, Ponta Grossa",3.0,3.0,144.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-cozinha-cara-cara-ponta-grossa-144m2-id-2734056318/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:11:18
R$ 670.000,Rua Brasil Pinheiro,"Sobrado para comprar com 110 m², 3 quartos, 3 banheiros, 2 vagas emOrfãs, Ponta Grossa",3.0,3.0,110.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-orfas-ponta-grossa-110m2-id-2854706141/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:11:18
R$ 2.700,Avenida Visconde de Mauá,"Sala/Conjunto para alugar com 44 m², 1 banheiro emColônia Dona Luíza, Ponta Grossa",,1.0,44.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-colonia-dona-luiza-ponta-grossa-44m2-id-2866827181/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:11:18
R$ 270.000,Rua Rio de Janeiro,"Apartamento para comprar com 77 m², 2 quartos, 2 banheiros emNova Rússia, Ponta Grossa",2.0,2.0,77.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-nova-russia-ponta-grossa-77m2-id-2865901660/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:11:18
R$ 220.000,Avenida União Pan-americana,"Apartamento para comprar com 68 m², 2 quartos, 1 banheiro, 1 vaga emColônia Dona Luíza, Ponta Grossa",2.0,1.0,68.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-colonia-dona-luiza-ponta-grossa-68m2-id-2866776516/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:11:18
