preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 130.000,Rua Abelardo de Brito,"Apartamento para comprar com 40 m², 2 quartos, 1 banheiro, 1 vaga emRonda, Ponta Grossa",2.0,1.0,40.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-ronda-ponta-grossa-40m2-id-2677872500/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 295.000,Rua Laranjeira,"Apartamento para comprar com 100 m², 3 quartos, 2 banheiros, 2 vagas emJardim Carvalho, Ponta Grossa",3.0,2.0,100.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-jardim-carvalho-ponta-grossa-100m2-id-2658385178/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 350.000,Rua Antônio Saad,"Casa de condomínio para comprar com 60 m², 3 quartos, 2 banheiros, 2 vagas emBoa Vista, Ponta Grossa",3.0,2.0,60.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-boa-vista-ponta-grossa-60m2-id-2859857872/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 485.000,Rua Brigadeiro Rocha Loures,"Sobrado para comprar com 117 m², 3 quartos, 3 banheiros emJardim Carvalho, Ponta Grossa",3.0,3.0,117.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-mobiliado-jardim-carvalho-ponta-grossa-117m2-id-2855916260/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 410.367,Rua Balduíno Taques,"Apartamento para comprar com 101 m², 1 quarto, 1 banheiro, 1 vaga emCentro, Ponta Grossa",1.0,1.0,101.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-centro-ponta-grossa-101m2-id-2704727680/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 14.900,Avenida Souza Naves,"Sala/Conjunto para alugar com 1473 m², 3 banheiros emChapada, Ponta Grossa",,3.0,1473.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-chapada-ponta-grossa-1473m2-id-2823953742/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 1.200.000,Rua Joaquim de Paula Xavier,"Casa para comprar com 324 m², 4 quartos, 4 banheiros, 4 vagas emEstrela, Ponta Grossa",4.0,4.0,324.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-churrasqueira-estrela-ponta-grossa-324m2-id-2559401726/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 175.000,Rua Doutor Paula Xavier,"Casa de condomínio para comprar com 57 m², 1 quarto, 1 banheiro, 2 vagas emCentro, Ponta Grossa",1.0,1.0,57.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-1-quarto-com-churrasqueira-centro-ponta-grossa-57m2-id-2559401552/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 375.000,Rua Abílio de Barros,"Casa para comprar com 180 m², 3 quartos, 2 banheiros, 2 vagas emCentro, Ponta Grossa",3.0,2.0,180.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-centro-ponta-grossa-180m2-id-2559401683/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 525.000,Rua Doutor Paula Xavier,"Casa de Vila para comprar com 182 m², 3 quartos, 3 banheiros, 2 vagas emCentro, Ponta Grossa",3.0,3.0,182.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-vila-3-quartos-com-churrasqueira-centro-ponta-grossa-182m2-id-2559401485/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 1.200.000,Rua Eduardo Burgardt,"Casa de condomínio para comprar com 10 m², 3 quartos, 3 banheiros, 2 vagas emContorno, Ponta Grossa",3.0,3.0,10.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-contorno-ponta-grossa-10m2-id-2825743350/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 180.000,Rua Augusto Tochinski,"Casa para comprar com 37 m², 2 quartos, 1 banheiro, 2 vagas emContorno, Ponta Grossa",2.0,1.0,37.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-contorno-ponta-grossa-37m2-id-2825649624/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 370.000,Rua Sete de Setembro,"Apartamento para comprar com 122 m², 3 quartos, 2 banheiros, 1 vaga emCentro, Ponta Grossa",3.0,2.0,122.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-deposito-privativo-centro-ponta-grossa-122m2-id-2780786295/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 370.000,Rua Marquês do Paraná,"Apartamento para comprar com 64 m², 2 quartos, 1 banheiro, 1 vaga emRonda, Ponta Grossa",2.0,1.0,64.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-ronda-ponta-grossa-64m2-id-2688572740/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 450.000,Rua Manoel Machuca,"Apartamento para comprar com 93 m², 3 quartos, 1 banheiro emUvaranas, Ponta Grossa",3.0,1.0,93.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-uvaranas-ponta-grossa-93m2-id-2825743714/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 180.000,Rua Paulino Primo Nadal,"Casa para comprar com 47 m², 2 quartos, 1 banheiro, 2 vagas emNeves, Ponta Grossa",2.0,1.0,47.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-area-de-servico-neves-ponta-grossa-47m2-id-2867625895/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 490.000,,"Lote/Terreno para comprar com 354 m² emBoa Vista, Ponta Grossa",,,354.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-boa-vista-ponta-grossa-354m2-id-2797387330/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 1.800.000,Rua Ivo Mendes Barreto,"Lote/Terreno para comprar com 2436 m² emOlarias, Ponta Grossa",,,2436.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-olarias-ponta-grossa-2436m2-id-2799597865/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 1.500.000,Rua México,"Cobertura para comprar com 107 m², 2 quartos, 3 banheiros, 2 vagas emCentro, Ponta Grossa",2.0,3.0,107.0,https://www.zapimoveis.com.br/imovel/venda-cobertura-2-quartos-mobiliado-centro-ponta-grossa-107m2-id-2825743124/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 410.000,Rua Doutor Penteado de Almeida,"Lote/Terreno para comprar com 585 m² emCentro, Ponta Grossa",,,585.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-centro-ponta-grossa-585m2-id-2856671053/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 620.000,Rua Joaquim de Paula Xavier,"Lote/Terreno para comprar com 544 m² emEstrela, Ponta Grossa",,,544.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-estrela-ponta-grossa-544m2-id-2854708820/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 25.000,Rua Estanislau Anastácio Piekarski,"Sala/Conjunto para alugar com 770 m², 6 banheiros, 8 vagas emEstrela, Ponta Grossa",,6.0,770.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-mobiliado-estrela-ponta-grossa-770m2-id-2825746422/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 690.600,Rua Nilo Peçanha,"Apartamento para comprar com 177 m², 3 quartos, 2 banheiros, 2 vagas emEstrela, Ponta Grossa",3.0,2.0,177.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-estrela-ponta-grossa-177m2-id-2867280679/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 335.000,Rua Nicolau Kluppel Neto,"Apartamento para comprar com 62 m², 3 quartos, 1 banheiro emContorno, Ponta Grossa",3.0,1.0,62.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-contorno-ponta-grossa-62m2-id-2825744021/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 320.000,Rua Herculano de Freitas,"Lote/Terreno para comprar com 285 m² emOrfãs, Ponta Grossa",,,285.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-orfas-ponta-grossa-285m2-id-2672499411/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 250.000,Rua Euzébio da Motta,"Lote/Terreno para comprar com 338 m² emRonda, Ponta Grossa",,,338.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-ronda-ponta-grossa-338m2-id-2590914880/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 1.150.000,Rua Balduíno Taques,"Sala/Conjunto para comprar com 163 m², 2 banheiros emCentro, Ponta Grossa",,2.0,163.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-centro-ponta-grossa-163m2-id-2698157621/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 310.000,Rua Luiz Gama,"Lote/Terreno para comprar com 429 m² emOficinas, Ponta Grossa",,,429.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-oficinas-ponta-grossa-429m2-id-2645642300/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 2.400.000,Rua Comendador Ayrton Plaisant,"Lote/Terreno para comprar com 1593 m² emCentro, Ponta Grossa",,,1593.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-centro-ponta-grossa-1593m2-id-2594250864/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 165.000,Rua Aracy de Moraes Rodrigues,"Lote/Terreno para comprar com 361 m² emCará-cará, Ponta Grossa",,,361.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-cara-cara-ponta-grossa-361m2-id-2672499409/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 380.000,Rua Saldanha Marinho,Rua Saldanha Marinho,2.0,1.0,65.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-lavanderia-coletiva-trianon-guarapuava-pr-65m2-id-2833764280/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 360.000,Rua Coronel Manoel Marcondes,Rua Coronel Manoel Marcondes,2.0,2.0,64.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-santa-cruz-guarapuava-pr-64m2-id-2825743325/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 1.950,Rua Gerânios,Rua Gerânios,2.0,2.0,48.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-batel-guarapuava-pr-48m2-id-2867490059/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 850,Rua Guaíra,Rua Guaíra,1.0,1.0,30.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-cozinha-centro-guarapuava-pr-30m2-id-2848244955/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 3.500,Rua Goiás,Rua Goiás,4.0,2.0,163.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-churrasqueira-dos-estados-guarapuava-pr-163m2-id-2858252470/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 260.000,,Travessa Arlindo Antunes de Almeida,2.0,1.0,48.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-boqueirao-guarapuava-pr-48m2-id-2845153415/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 2.700,Rua Izidoro Nascimento Barbosa,Rua Izidoro Nascimento Barbosa,3.0,1.0,98.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-morro-alto-guarapuava-pr-98m2-id-2825745218/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
R$ 2.200,Rua Bernardo José de Lacerda,Rua Bernardo José de Lacerda,3.0,2.0,93.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-cozinha-santa-cruz-guarapuava-pr-93m2-id-2848518714/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 09:57:01
