preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 689.000,Rua Ataúlfo Alves,"Casa para comprar com 170 m², 3 quartos, 3 banheiros, 2 vagas emEstrela, Ponta Grossa",3,3,170.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-mobiliado-estrela-ponta-grossa-170m2-id-2835535315/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:26:03
R$ 360.000,Rua Geny de Jesus Souza Ribas,"Apartamento para comprar com 80 m², 3 quartos, 2 banheiros, 2 vagas emOficinas, Ponta Grossa",3,2,80.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-oficinas-ponta-grossa-80m2-id-2828972328/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:26:03
R$ 300.000,Rua Marcelino Nogueira,"Casa para comprar com 160 m², 3 quartos, 1 banheiro, 3 vagas emRonda, Ponta Grossa",3,1,160.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-ronda-ponta-grossa-160m2-id-2725005171/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:26:03
R$ 370.000,Rua Jacob Afonso Horn,"Casa para comprar com 126 m², 2 quartos, 2 banheiros, 2 vagas emContorno, Ponta Grossa",2,2,126.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-contorno-ponta-grossa-126m2-id-2725003172/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:26:03
R$ 350.000,Rua Cândido Borsato,"Casa para comprar com 249 m², 2 quartos, 2 banheiros, 8 vagas emUvaranas, Ponta Grossa",2,2,249.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-uvaranas-ponta-grossa-249m2-id-2821657022/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:26:03
R$ 330.000,,"Casa para comprar com 493 m², 2 quartos, 1 banheiro, 2 vagas emCará-cará, Ponta Grossa",2,1,493.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-cara-cara-ponta-grossa-493m2-id-2865107465/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:26:03
R$ 4.000,Rua Sete de Setembro,"Apartamento para alugar com 135 m², 3 quartos, 4 banheiros, 2 vagas emCentro, Ponta Grossa",3,4,135.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-centro-ponta-grossa-135m2-id-2856731654/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:26:03
R$ 129.900,Rua Doutor Paula Xavier,"Casa de Vila para comprar com 48 m², 2 quartos, 1 banheiro, 2 vagas emCentro, Ponta Grossa",2,1,48.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-vila-2-quartos-centro-ponta-grossa-48m2-id-2559401758/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:26:03
R$ 311.000,Rua Olga Aleda Cavagnari,"Sobrado para comprar com 77 m², 3 quartos, 2 banheiros, 2 vagas emJardim Carvalho, Ponta Grossa",3,2,77.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-cozinha-jardim-carvalho-ponta-grossa-77m2-id-2749365370/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:26:03
R$ 570.000,Rua Monte Alverne,"Sobrado para comprar com 125 m², 3 quartos, 3 banheiros, 2 vagas emJardim Carvalho, Ponta Grossa",3,3,125.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-jardim-carvalho-ponta-grossa-125m2-id-2749366612/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:26:03
