preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 750.000,Rua Augusto Ribas,"Apartamento para comprar com 150 m², 2 quartos, 4 banheiros, 2 vagas emCentro, Ponta Grossa",2.0,4.0,150.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-centro-ponta-grossa-150m2-id-2756575729/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:48:58
R$ 600.000,Rua Doutor Colares,"Apartamento para comprar com 181 m², 3 quartos, 3 banheiros, 1 vaga emCentro, Ponta Grossa",3.0,3.0,181.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-centro-ponta-grossa-181m2-id-2769262844/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:48:58
R$ 370.000,Rua João Cecy Filho,"Sobrado para comprar com 75 m², 3 quartos, 1 banheiro, 1 vaga emUvaranas, Ponta Grossa",3.0,1.0,75.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-uvaranas-ponta-grossa-75m2-id-2837123016/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:48:58
R$ 440.000,Rua Conselheiro Cândido de Oliveira,"Lote/Terreno para comprar com 10 m² emUvaranas, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-uvaranas-ponta-grossa-10m2-id-2672907660/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:48:58
R$ 1.200,Rua Theodoro Rosas,"Apartamento para alugar com 72 m², 2 quartos, 1 banheiro emCentro, Ponta Grossa",2.0,1.0,72.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-centro-ponta-grossa-72m2-id-2868781828/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:48:58
R$ 600.000,Rua Coronel Generoso Martins de Araújo,"Lote/Terreno para comprar com 10 m² emNova Rússia, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-nova-russia-ponta-grossa-10m2-id-2811021514/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:48:58
R$ 380.000,Rua Ricardo Lemos,"Lote/Terreno para comprar com 10 m² emOficinas, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-oficinas-ponta-grossa-10m2-id-2801169321/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:48:58
R$ 1.100.000,Rua Major Manoel Grott,"Casa para comprar com 462 m², 4 quartos, 3 banheiros, 2 vagas emOrfãs, Ponta Grossa",4.0,3.0,462.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-sala-de-jantar-orfas-ponta-grossa-462m2-id-2789098342/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:48:58
R$ 520.000,Rua Albert Einstein,"Casa para comprar com 193 m², 5 quartos, 2 banheiros, 2 vagas emUvaranas, Ponta Grossa",5.0,2.0,193.0,https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-uvaranas-ponta-grossa-193m2-id-2836061366/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:48:58
R$ 450.000,Rua Almirante Custódio de Mello,"Apartamento para comprar com 78 m², 3 quartos, 2 banheiros, 1 vaga emCentro, Ponta Grossa",3.0,2.0,78.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-sala-de-jantar-centro-ponta-grossa-78m2-id-2834113962/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:48:58
R$ 1.600.000,Rua Luiz Nadal Motti,"Casa de condomínio para comprar com 320 m², 3 quartos, 4 banheiros, 2 vagas emJardim Carvalho, Ponta Grossa",3.0,4.0,320.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-jardim-carvalho-ponta-grossa-320m2-id-2769264040/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:48:58
R$ 400.000,Rua Barão de Capanema,"Sobrado para comprar com 80 m², 2 quartos, 1 banheiro, 1 vaga emNova Rússia, Ponta Grossa",2.0,1.0,80.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-area-de-servico-nova-russia-ponta-grossa-80m2-id-2725006442/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:48:58
