preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 700.000,Rua Rodolfo Serzedelo,"Casa para comprar com 219 m², 4 quartos, 5 banheiros, 2 vagas emUvaranas, Ponta Grossa",4.0,5.0,219.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-uvaranas-ponta-grossa-219m2-id-2825649729/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:42
R$ 340.000,Rua Francisco Ribas,"Apartamento para comprar com 100 m², 1 quarto, 1 banheiro, 1 vaga emCentro, Ponta Grossa",1.0,1.0,100.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-churrasqueira-centro-ponta-grossa-100m2-id-2769264531/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:42
R$ 750.000,Rua Ruy Procópio Pinheiro,"Casa para comprar com 132 m², 3 quartos, 2 banheiros, 3 vagas emCará-cará, Ponta Grossa",3.0,2.0,132.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-cara-cara-ponta-grossa-132m2-id-2852367397/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:42
R$ 330.000,Rua Valério Ronchi,"Lote/Terreno para comprar com 260 m² emUvaranas, Ponta Grossa",,,260.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-uvaranas-ponta-grossa-260m2-id-2810236084/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:42
R$ 225.000,Rua Florestópolis,"Casa para comprar com 52 m², 2 quartos, 2 banheiros, 1 vaga emOficinas, Ponta Grossa",2.0,2.0,52.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-oficinas-ponta-grossa-52m2-id-2825736456/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:42
R$ 770.000,Rua Eduardo Burgardt,"Casa de condomínio para comprar com 130 m², 3 quartos, 2 banheiros, 2 vagas emContorno, Ponta Grossa",3.0,2.0,130.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-churrasqueira-contorno-ponta-grossa-130m2-id-2855837830/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:42
R$ 190.000,Rua Itacil Ferreira de Oliveira,"Casa para comprar com 51 m², 1 quarto, 1 banheiro, 1 vaga emCará-cará, Ponta Grossa",1.0,1.0,51.0,https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-com-cozinha-cara-cara-ponta-grossa-51m2-id-2867628668/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:42
R$ 185.000,Rua Sílvia Machado de Souza,"Apartamento para comprar com 51 m², 2 quartos, 1 banheiro, 1 vaga emEstrela, Ponta Grossa",2.0,1.0,51.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-estrela-ponta-grossa-51m2-id-2857545557/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:42
R$ 330.000,Rua Nicolau Kluppel Neto,"Apartamento para comprar com 59 m², 2 quartos, 1 banheiro, 1 vaga emContorno, Ponta Grossa",2.0,1.0,59.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-contorno-ponta-grossa-59m2-id-2825649818/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:42
R$ 250.000,Rua João Silvio de Lara Machado,"Lote/Terreno para comprar com 313 m² emJardim Carvalho, Ponta Grossa",,,313.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-313m2-id-2845437531/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:42
