preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 1.590.000,Rua Adão Nestor Becher,"Casa para comprar com 350 m², 4 quartos, 3 banheiros, 4 vagas emChapada, Ponta Grossa",4.0,3.0,350.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-churrasqueira-chapada-ponta-grossa-350m2-id-2559401628/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:49
R$ 1.400.000,Rua Saldanha da Gama,"Apartamento para comprar com 148 m², 3 quartos, 3 banheiros, 2 vagas emOrfãs, Ponta Grossa",3.0,3.0,148.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-orfas-ponta-grossa-148m2-id-2856452319/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:49
R$ 2.990.000,Rua Tiradentes,"Prédio/Edificio inteiro para comprar com 581 m², 6 banheiros, 5 vagas emCentro, Ponta Grossa",,6.0,581.0,https://www.zapimoveis.com.br/imovel/venda-predio-com-churrasqueira-centro-ponta-grossa-581m2-id-2805354432/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:49
R$ 1.400.000,Rua Augusto Oswaldo Schultz,"Sobrado para comprar com 210 m², 3 quartos, 3 banheiros, 2 vagas emJardim Carvalho, Ponta Grossa",3.0,3.0,210.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-jardim-carvalho-ponta-grossa-210m2-id-2800282760/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:49
R$ 1.700.000,Rua Doutor Penteado de Almeida,"Ponto comercial/Loja/Box para comprar com 630 m² emCentro, Ponta Grossa",,,630.0,https://www.zapimoveis.com.br/imovel/venda-loja-salao-centro-ponta-grossa-630m2-id-2842004420/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:49
R$ 2.000.000,Rua Doutor Colares,"Prédio/Edificio inteiro para comprar com 585 m², 6 quartos, 3 banheiros, 6 vagas emCentro, Ponta Grossa",6.0,3.0,585.0,https://www.zapimoveis.com.br/imovel/venda-predio-6-quartos-centro-ponta-grossa-585m2-id-2672911588/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:49
R$ 4.650.000,Avenida General Carlos Cavalcanti,"Sala/Conjunto para comprar com 384 m², 3 quartos, 2 banheiros, 17 vagas emUvaranas, Ponta Grossa",3.0,2.0,384.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-3-quartos-uvaranas-ponta-grossa-384m2-id-2825649239/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:49
R$ 2.390.000,Avenida União Pan-americana,"Casa para comprar com 10 m², 1 quarto, 4 banheiros, 2 vagas emColônia Dona Luíza, Ponta Grossa",1.0,4.0,10.0,https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-com-piscina-colonia-dona-luiza-ponta-grossa-10m2-id-2825746019/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:49
R$ 1.600.000,Rua Francisco Ribas,"Apartamento para comprar com 270 m², 5 quartos, 5 banheiros, 3 vagas emCentro, Ponta Grossa",5.0,5.0,270.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-5-quartos-centro-ponta-grossa-270m2-id-2846743932/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:49
R$ 2.490.000,Rua Engenheiro Grevile,"Casa de condomínio para comprar com 350 m², 4 quartos, 4 banheiros, 5 vagas emColônia Dona Luíza, Ponta Grossa",4.0,4.0,350.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-mobiliado-colonia-dona-luiza-ponta-grossa-350m2-id-2705604322/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:49
