preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 177.000,Rua Siqueira Campos,"Casa para comprar com 67 m², 3 quartos, 1 banheiro, 2 vagas emUvaranas, Ponta Grossa",3.0,1.0,67.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-uvaranas-ponta-grossa-67m2-id-2609029679/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:24:44
R$ 165.000,Rua Pedro Mezzomo,"Casa para comprar com 50 m², 2 quartos, 1 banheiro, 1 vaga emBoa Vista, Ponta Grossa",2.0,1.0,50.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-boa-vista-ponta-grossa-50m2-id-2648637580/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:24:44
R$ 186.000,Rua Bernardino de Campos,"Casa para comprar com 56 m², 3 quartos, 1 banheiro, 2 vagas emBoa Vista, Ponta Grossa",3.0,1.0,56.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-boa-vista-ponta-grossa-56m2-id-2607748190/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:24:44
R$ 395.000,,"Sobrado para comprar com 70 m², 2 quartos, 2 banheiros, 2 vagas emColônia Dona Luíza, Ponta Grossa",2.0,2.0,70.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-churrasqueira-colonia-dona-luiza-ponta-grossa-70m2-id-2797387557/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:24:44
R$ 140.000,Rua Doutor Paula Xavier,"Casa para comprar com 50 m², 2 quartos, 1 banheiro, 2 vagas emCentro, Ponta Grossa",2.0,1.0,50.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-centro-ponta-grossa-50m2-id-2570655255/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:24:44
R$ 189.000,Rua Pombo,"Casa para comprar com 55 m², 2 quartos, 1 banheiro, 2 vagas emColônia Dona Luíza, Ponta Grossa",2.0,1.0,55.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-colonia-dona-luiza-ponta-grossa-55m2-id-2641395457/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:24:44
R$ 328.900,Rua Monte Alverne,"Apartamento para comprar com 73 m², 3 quartos, 2 banheiros, 1 vaga emJardim Carvalho, Ponta Grossa",3.0,2.0,73.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-jardim-carvalho-ponta-grossa-73m2-id-2856672669/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:24:44
R$ 260.000,Rua Recanto dos Pássaros,"Casa de condomínio para comprar com 59 m², 3 quartos, 1 banheiro, 1 vaga emChapada, Ponta Grossa",3.0,1.0,59.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-churrasqueira-chapada-ponta-grossa-59m2-id-2825741852/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:24:44
R$ 340.000,Rua Estados Unidos,"Apartamento para comprar com 10 m², 1 quarto, 1 banheiro, 1 vaga emCentro, Ponta Grossa",1.0,1.0,10.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-centro-ponta-grossa-10m2-id-2825741267/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:24:44
R$ 780.000,Rua Fagundes Varela,"Apartamento para comprar com 133 m², 3 quartos, 3 banheiros, 2 vagas emUvaranas, Ponta Grossa",3.0,3.0,133.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-uvaranas-ponta-grossa-133m2-id-2858387665/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:24:44
