preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 350.000,Rua José Miara,"Lote/Terreno para comprar com 10 m² emOrfãs, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-orfas-ponta-grossa-10m2-id-2708152377/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:14:44
R$ 4.600.000,Rua Doutor Manoel Antônio Braga Ramos,"Sobrado para comprar com 495 m², 4 quartos, 5 banheiros, 6 vagas emEstrela, Ponta Grossa",4.0,5.0,495.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-com-piscina-estrela-ponta-grossa-495m2-id-2813866917/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:14:44
R$ 850.000,Rua Francisco Manoel da Silva,"Galpão/Depósito/Armazém para comprar com 363 m² emUvaranas, Ponta Grossa",,,363.0,https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-uvaranas-ponta-grossa-363m2-id-2740954182/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:14:44
R$ 3.500.000,Rua Professor Heitor Ditzel,"Casa para comprar com 800 m², 4 quartos, 2 banheiros, 5 vagas emEstrela, Ponta Grossa",4.0,2.0,800.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-churrasqueira-estrela-ponta-grossa-800m2-id-2765462713/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:14:44
R$ 4.700.000,Rua Venezuela,"Cobertura para comprar com 380 m², 3 quartos, 6 banheiros, 4 vagas emOficinas, Ponta Grossa",3.0,6.0,380.0,https://www.zapimoveis.com.br/imovel/venda-cobertura-3-quartos-com-piscina-oficinas-ponta-grossa-380m2-id-2775098073/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:14:44
R$ 940.000,Rua Doutor Colares,"Apartamento para comprar com 96 m², 3 quartos, 1 banheiro, 2 vagas emCentro, Ponta Grossa",3.0,1.0,96.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-centro-ponta-grossa-96m2-id-2825648209/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:14:44
R$ 1.050.900,Rua Amazonas,"Apartamento para comprar com 136 m², 3 quartos, 3 banheiros, 2 vagas emEstrela, Ponta Grossa",3.0,3.0,136.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-estrela-ponta-grossa-136m2-id-2672907835/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:14:44
R$ 1.150.000,Rua Jacob Holzmann,"Apartamento para comprar com 265 m², 3 quartos, 4 banheiros, 2 vagas emOlarias, Ponta Grossa",3.0,4.0,265.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-olarias-ponta-grossa-265m2-id-2769264730/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:14:44
R$ 2.000.000,Rua Salomão Tuma,"Casa para comprar com 364 m², 3 quartos, 3 banheiros, 2 vagas emEstrela, Ponta Grossa",3.0,3.0,364.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-estrela-ponta-grossa-364m2-id-2823797822/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:14:44
R$ 750.000,Rua João Silvio de Lara Machado,"Lote/Terreno para comprar com 617 m² emJardim Carvalho, Ponta Grossa",,,617.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-jardim-carvalho-ponta-grossa-617m2-id-2769264647/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:14:44
R$ 3.200.000,Rua Joaquim de Paula Xavier,"Casa para comprar com 400 m², 5 quartos, 6 banheiros, 8 vagas emEstrela, Ponta Grossa",5.0,6.0,400.0,https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-com-piscina-estrela-ponta-grossa-400m2-id-2703537473/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:14:44
