preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 290.000,Rua Souza Caldas,"Casa de condomínio para comprar com 70 m², 3 quartos, 2 banheiros, 1 vaga emUvaranas, Ponta Grossa",3.0,2.0,70.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-churrasqueira-uvaranas-ponta-grossa-70m2-id-2766296319/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:16:58
R$ 170.000,Rua João Pereira de Oliveira,"Casa de condomínio para comprar com 45 m², 2 quartos, 1 banheiro, 1 vaga emOrfãs, Ponta Grossa",2.0,1.0,45.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-churrasqueira-orfas-ponta-grossa-45m2-id-2837336132/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:16:58
R$ 180.000,Rua Teixeira de Macedo,"Casa para comprar com 41 m², 2 quartos, 1 banheiro, 1 vaga emUvaranas, Ponta Grossa",2.0,1.0,41.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-uvaranas-ponta-grossa-41m2-id-2805829288/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:16:58
R$ 619.000,Rodovia BR-376,"Apartamento para comprar com 91 m², 3 quartos, 2 banheiros, 2 vagas emColônia Dona Luíza, Ponta Grossa",3.0,2.0,91.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-colonia-dona-luiza-ponta-grossa-91m2-id-2829052839/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:16:58
R$ 170.000,Rua Santa Rita,"Casa de condomínio para comprar com 59 m², 2 quartos, 1 banheiro, 1 vaga emCará-cará, Ponta Grossa",2.0,1.0,59.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-com-acesso-24-horas-cara-cara-ponta-grossa-59m2-id-2849057213/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:16:58
R$ 235.000,Rua Cirema Becker,"Casa de condomínio para comprar com 64 m², 2 quartos, 1 banheiro emContorno, Ponta Grossa",2.0,1.0,64.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-contorno-ponta-grossa-64m2-id-2763233719/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:16:58
R$ 226.000,Rua Cordovil do Merithy,"Apartamento para comprar com 53 m², 2 quartos, 1 banheiro, 1 vaga emOficinas, Ponta Grossa",2.0,1.0,53.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-oficinas-ponta-grossa-53m2-id-2795089821/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:16:58
R$ 279.900,Avenida Siqueira Campos,"Apartamento para comprar com 80 m², 2 quartos, 2 banheiros, 1 vaga emUvaranas, Ponta Grossa",2.0,2.0,80.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-uvaranas-ponta-grossa-80m2-id-2779954026/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:16:58
R$ 800.000,Avenida Siqueira Campos,"Sobrado para comprar com 200 m², 4 quartos, 3 banheiros, 2 vagas emCará-cará, Ponta Grossa",4.0,3.0,200.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-mobiliado-cara-cara-ponta-grossa-200m2-id-2786585985/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:16:58
R$ 298.000,Rua Sete de Setembro,"Apartamento para comprar com 76 m², 2 quartos, 1 banheiro, 1 vaga emCentro, Ponta Grossa",2.0,1.0,76.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-centro-ponta-grossa-76m2-id-2740350480/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:16:58
