preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 410.000,Avenida Rocha Pombo,"Casa para comprar com 100 m², 3 quartos, 2 banheiros, 2 vagas emJardim Carvalho, Ponta Grossa",3.0,2,100.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-jardim-carvalho-ponta-grossa-100m2-id-2559401806/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:09:07
R$ 338.700,Rua Doutor Penteado de Almeida,"Apartamento para comprar com 128 m², 3 quartos, 2 banheiros, 1 vaga emCentro, Ponta Grossa",3.0,2,128.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-centro-ponta-grossa-128m2-id-2766208188/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:09:07
R$ 230.000,Rua Corisco,"Casa para comprar com 70 m², 3 quartos, 1 banheiro, 1 vaga emCará-cará, Ponta Grossa",3.0,1,70.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-cara-cara-ponta-grossa-70m2-id-2777103531/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:09:07
R$ 880.000,,"Sobrado para comprar com 200 m², 2 quartos, 1 banheiro, 3 vagas emOlarias, Ponta Grossa",2.0,1,200.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-churrasqueira-olarias-ponta-grossa-200m2-id-2797389350/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:09:07
R$ 680.000,,"Sobrado para comprar com 232 m², 3 quartos, 2 banheiros emOlarias, Ponta Grossa",3.0,2,232.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-olarias-ponta-grossa-232m2-id-2845057921/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:09:07
R$ 643.000,,"Apartamento para comprar com 121 m², 2 quartos, 1 banheiro, 1 vaga emCentro, Ponta Grossa",2.0,1,121.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-centro-ponta-grossa-121m2-id-2833887823/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:09:07
R$ 345.000,,"Casa para comprar com 130 m², 3 quartos, 2 banheiros, 2 vagas emUvaranas, Ponta Grossa",3.0,2,130.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-uvaranas-ponta-grossa-130m2-id-2797389362/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:09:07
R$ 255.000,,"Apartamento para comprar com 60 m², 3 quartos, 1 banheiro, 1 vaga emChapada, Ponta Grossa",3.0,1,60.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-chapada-ponta-grossa-60m2-id-2797388159/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:09:07
R$ 970.000,,"Sobrado para comprar com 160 m², 3 quartos, 1 banheiro, 2 vagas emColônia Dona Luíza, Ponta Grossa",3.0,1,160.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-colonia-dona-luiza-ponta-grossa-160m2-id-2859731696/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:09:07
R$ 625.000,,"Sobrado para comprar com 128 m², 3 quartos, 3 banheiros, 3 vagas emJardim Carvalho, Ponta Grossa",3.0,3,128.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-cozinha-jardim-carvalho-ponta-grossa-128m2-id-2829740123/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:09:07
