preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 1.275.000,Rua Pedro Américo,"Galpão/Depósito/Armazém para comprar com 326 m², 2 banheiros, 3 vagas emOficinas, Ponta Grossa",,2.0,326.0,https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-oficinas-ponta-grossa-326m2-id-2835429128/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 5.000.000,Rua Joaquim de Paula Xavier,"Casa de condomínio para comprar com 500 m², 3 quartos, 6 banheiros, 6 vagas emEstrela, Ponta Grossa",3.0,6.0,500.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-estrela-ponta-grossa-500m2-id-2686101993/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 1.800.000,Rua Doutor Paula Xavier,"Prédio/Edifício inteiro para comprar com 372 m², 4 banheiros emCentro, Ponta Grossa",,4.0,372.0,https://www.zapimoveis.com.br/imovel/venda-predio-centro-ponta-grossa-372m2-id-2861036270/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 750.000,,"Casa para comprar com 400 m², 2 quartos, 2 banheiros, 3 vagas emUvaranas, Ponta Grossa",2.0,2.0,400.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-uvaranas-ponta-grossa-400m2-id-2797384575/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 1.200.000,Rua Doutor Paula Xavier,"Ponto comercial/Loja/Box para comprar com 250 m², 3 quartos, 2 banheiros, 2 vagas emCentro, Ponta Grossa",3.0,2.0,250.0,https://www.zapimoveis.com.br/imovel/venda-loja-salao-3-quartos-centro-ponta-grossa-250m2-id-2769262760/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 1.750.000,Rua João Silvio de Lara Machado,"Casa para comprar com 220 m², 3 quartos, 2 banheiros, 2 vagas emJardim Carvalho, Ponta Grossa",3.0,2.0,220.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-jardim-carvalho-ponta-grossa-220m2-id-2670633521/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 795.000,Rua Joaquim de Paula Xavier,"Lote/Terreno para comprar com 10 m² emEstrela, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-estrela-ponta-grossa-10m2-id-2672909770/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 1.690.000,Rua Padre Ildefonso,"Sala/Conjunto para comprar com 109 m², 2 banheiros emCentro, Ponta Grossa",,2.0,109.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-centro-ponta-grossa-109m2-id-2673213093/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 850.000,Avenida João Manoel dos Santos Ribas,"Sala/Conjunto para comprar com 78 m², 1 banheiro, 1 vaga emNova Rússia, Ponta Grossa",,1.0,78.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-nova-russia-ponta-grossa-78m2-id-2825647035/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 1.500.000,Rua Benjamin Constant,"Casa para comprar com 122 m², 3 quartos, 1 banheiro, 1 vaga emCentro, Ponta Grossa",3.0,1.0,122.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-centro-ponta-grossa-122m2-id-2824837644/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 4.150.000,Rua Balduíno Taques,"Sala/Conjunto para comprar com 775 m², 6 banheiros, 5 vagas emCentro, Ponta Grossa",,6.0,775.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-centro-ponta-grossa-775m2-id-2843457625/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 800.000,Rua Doze de Outubro,"Casa para comprar com 189 m², 6 quartos, 2 banheiros, 1 vaga emCentro, Ponta Grossa",6.0,2.0,189.0,https://www.zapimoveis.com.br/imovel/venda-casa-6-quartos-centro-ponta-grossa-189m2-id-2712582300/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 4.500.000,Rua Doutor Paula Xavier,"Apartamento para comprar com 428 m², 3 quartos, 6 banheiros, 4 vagas emCentro, Ponta Grossa",3.0,6.0,428.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-centro-ponta-grossa-428m2-id-2825650132/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 1.378.000,Rua Edson Nobre de Lacerda,"Apartamento para comprar com 341 m², 4 quartos, 1 banheiro, 3 vagas emJardim Carvalho, Ponta Grossa",4.0,1.0,341.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-churrasqueira-jardim-carvalho-ponta-grossa-341m2-id-2756063419/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 1.200.000,Rua Frei Caneca,"Lote/Terreno para comprar com 10 m² emCentro, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-centro-ponta-grossa-10m2-id-2672911313/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 13.500.000,Avenida Siqueira Campos,"Lote/Terreno para comprar com 22687 m² emUvaranas, Ponta Grossa",,,22687.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-uvaranas-ponta-grossa-22687m2-id-2850525458/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 2.800.000,Rua Venezuela,"Apartamento para comprar com 199 m², 3 quartos, 2 banheiros, 4 vagas emOficinas, Ponta Grossa",3.0,2.0,199.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-oficinas-ponta-grossa-199m2-id-2825648204/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 2.300.000,Rua João Silvio de Lara Machado,"Casa para comprar com 344 m², 3 quartos, 1 banheiro, 4 vagas emJardim Carvalho, Ponta Grossa",3.0,1.0,344.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-jardim-carvalho-ponta-grossa-344m2-id-2765630544/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 1.320.000,Avenida Tocantins,"Lote/Terreno para comprar com 3775 m² emCará-cará, Ponta Grossa",,,3775.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-cara-cara-ponta-grossa-3775m2-id-2793555991/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 3.000.000,Avenida João Manoel dos Santos Ribas,"Ponto comercial/Loja/Box para comprar com 542 m², 1 banheiro emNova Rússia, Ponta Grossa",,1.0,542.0,https://www.zapimoveis.com.br/imovel/venda-loja-salao-nova-russia-ponta-grossa-542m2-id-2814213715/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 2.750.000,Rua Doutor Paula Xavier,"Apartamento para comprar com 231 m², 3 quartos, 5 banheiros, 4 vagas emCentro, Ponta Grossa",3.0,5.0,231.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-centro-ponta-grossa-231m2-id-2831619141/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
R$ 1.300.000,Rua Quinze de Novembro,"Sala/Conjunto para comprar com 264 m², 7 banheiros, 9 vagas emCentro, Ponta Grossa",,7.0,264.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-centro-ponta-grossa-264m2-id-2825649237/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:18:25
