preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 681.000,Avenida Bispo Dom Geraldo Pellanda,"Apartamento para comprar com 143 m², 3 quartos, 2 banheiros, 1 vaga emUvaranas, Ponta Grossa",3.0,2.0,143.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-uvaranas-ponta-grossa-143m2-id-2580413420/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 26.000,Rua México,"Sala/Conjunto para alugar com 872 m², 2 banheiros emCentro, Ponta Grossa",,2.0,872.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-centro-ponta-grossa-872m2-id-2734056218/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 685.000,Rua Aderly Turek,"Casa para comprar com 117 m², 3 quartos, 2 banheiros, 2 vagas emCará-cará, Ponta Grossa",3.0,2.0,117.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-cara-cara-ponta-grossa-117m2-id-2661418983/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 170.000,Rua Horácio Antunes Mendes,"Apartamento para comprar com 50 m², 3 quartos, 1 banheiro, 1 vaga emOrfãs, Ponta Grossa",3.0,1.0,50.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-orfas-ponta-grossa-50m2-id-2840185936/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 168.000,Rua Adão Lara dos Santos,"Casa para comprar com 47 m², 2 quartos, 1 banheiro, 1 vaga emCará-cará, Ponta Grossa",2.0,1.0,47.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-cara-cara-ponta-grossa-47m2-id-2864689466/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 684.000,Rua Roberto Auer,"Sobrado para comprar com 150 m², 3 quartos, 3 banheiros, 3 vagas emOficinas, Ponta Grossa",3.0,3.0,150.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-oficinas-ponta-grossa-150m2-id-2825534244/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 571.000,Rua Couto Magalhães,"Apartamento para comprar com 178 m², 3 quartos, 2 banheiros, 1 vaga emNova Rússia, Ponta Grossa",3.0,2.0,178.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-nova-russia-ponta-grossa-178m2-id-2781052820/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 190.000,Avenida General Carlos Cavalcanti,"Apartamento para comprar com 45 m², 2 quartos, 1 banheiro, 1 vaga emUvaranas, Ponta Grossa",2.0,1.0,45.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-uvaranas-ponta-grossa-45m2-id-2866477822/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 1.000.000,,"Sobrado para comprar com 195 m², 2 quartos, 3 banheiros, 4 vagas emJardim Carvalho, Ponta Grossa",2.0,3.0,195.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-churrasqueira-jardim-carvalho-ponta-grossa-195m2-id-2797388748/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 570.000,,"Sobrado para comprar com 150 m², 2 quartos, 1 banheiro, 2 vagas emNova Rússia, Ponta Grossa",2.0,1.0,150.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-cozinha-nova-russia-ponta-grossa-150m2-id-2797387581/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 300.000,,"Fazenda/Sítio/Chácara para comprar com 1000 m² emColônia Dona Luíza, Ponta Grossa",,,1000.0,https://www.zapimoveis.com.br/imovel/venda-fazenda-sitio-chacara-colonia-dona-luiza-ponta-grossa-1000m2-id-2797385253/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 400.000,,"Casa para comprar com 133 m², 3 quartos, 2 banheiros, 3 vagas emOficinas, Ponta Grossa",3.0,2.0,133.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-oficinas-ponta-grossa-133m2-id-2841697615/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 490.000,,"Casa para comprar com 140 m², 3 quartos, 1 banheiro, 1 vaga emUvaranas, Ponta Grossa",3.0,1.0,140.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-uvaranas-ponta-grossa-140m2-id-2797389225/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 540.000,,"Casa para comprar com 200 m², 3 quartos, 2 banheiros, 2 vagas emUvaranas, Ponta Grossa",3.0,2.0,200.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-uvaranas-ponta-grossa-200m2-id-2797389466/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 384.000,Rua Sílvia Machado de Souza,"Sobrado para comprar com 93 m², 2 quartos, 2 banheiros, 2 vagas emEstrela, Ponta Grossa",2.0,2.0,93.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-ambientes-integrados-estrela-ponta-grossa-93m2-id-2855655739/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 230.000,Rua Prefeito Albary Guimarães,"Apartamento para comprar com 55 m², 2 quartos, 1 banheiro, 1 vaga emContorno, Ponta Grossa",2.0,1.0,55.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-quadra-poliesportiva-contorno-ponta-grossa-55m2-id-2863130085/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 199.000,Rua Tiradentes,"Apartamento para comprar com 62 m², 2 quartos, 1 banheiro, 2 vagas emCentro, Ponta Grossa",2.0,1.0,62.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-centro-ponta-grossa-62m2-id-2651880562/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 130.000,Rua Clycema Kozzatz Carvalho,"Casa para comprar com 55 m², 2 quartos, 1 banheiro, 2 vagas emNeves, Ponta Grossa",2.0,1.0,55.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-neves-ponta-grossa-55m2-id-2600890689/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 350.000,Rua Piraquara,"Casa para comprar com 110 m², 3 quartos, 2 banheiros, 2 vagas emOficinas, Ponta Grossa",3.0,2.0,110.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-oficinas-ponta-grossa-110m2-id-2639464872/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 480.000,Rua Arnaldo José de Moraes,"Casa para comprar com 98 m², 3 quartos, 2 banheiros, 2 vagas emCará-cará, Ponta Grossa",3.0,2.0,98.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-cara-cara-ponta-grossa-98m2-id-2823109437/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 149.000,Rua Joseane de Quadros,"Casa para comprar com 50 m², 2 quartos, 1 banheiro, 2 vagas emBoa Vista, Ponta Grossa",2.0,1.0,50.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-boa-vista-ponta-grossa-50m2-id-2571342658/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 270.000,Rua Codorna,"Casa para comprar com 110 m², 3 quartos, 2 banheiros, 2 vagas emColônia Dona Luíza, Ponta Grossa",3.0,2.0,110.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-colonia-dona-luiza-ponta-grossa-110m2-id-2575712151/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 190.000,Rua Hércules,"Casa para comprar com 53 m², 2 quartos, 1 banheiro, 2 vagas emChapada, Ponta Grossa",2.0,1.0,53.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-chapada-ponta-grossa-53m2-id-2610690297/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 219.000,Avenida Congonhas,"Casa para comprar com 70 m², 3 quartos, 2 banheiros emChapada, Ponta Grossa",3.0,2.0,70.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-chapada-ponta-grossa-70m2-id-2637140823/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 250.000,Rua Senador Nereu Ramos,"Casa para comprar com 130 m², 3 quartos, 1 banheiro, 1 vaga emChapada, Ponta Grossa",3.0,1.0,130.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-chapada-ponta-grossa-130m2-id-2776455772/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 580.000,Rua Zeus,"Casa para comprar com 170 m², 3 quartos, 3 banheiros, 5 vagas emChapada, Ponta Grossa",3.0,3.0,170.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-chapada-ponta-grossa-170m2-id-2759268745/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 260.000,Avenida Antônio Rodrigues Teixeira Júnior,"Apartamento para comprar com 62 m², 2 quartos, 1 banheiro, 1 vaga emJardim Carvalho, Ponta Grossa",2.0,1.0,62.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-jardim-carvalho-ponta-grossa-62m2-id-2865774056/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 305.000,Rua Paraíso do Norte,"Casa para comprar com 98 m², 3 quartos, 2 banheiros, 2 vagas emContorno, Ponta Grossa",3.0,2.0,98.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-contorno-ponta-grossa-98m2-id-2563477186/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 135.000,Avenida Senador Flávio Carvalho Guimarães,"Casa de condomínio para comprar com 50 m², 2 quartos, 1 banheiro, 2 vagas emBoa Vista, Ponta Grossa",2.0,1.0,50.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-boa-vista-ponta-grossa-50m2-id-2731695505/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 170.000,Rua Sezinho Mattos de Souza,"Apartamento para comprar com 50 m², 1 quarto, 1 banheiro, 1 vaga emOrfãs, Ponta Grossa",1.0,1.0,50.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-orfas-ponta-grossa-50m2-id-2865595493/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 380.000,Rua Saldanha Marinho,Rua Saldanha Marinho,2.0,1.0,65.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-lavanderia-coletiva-trianon-guarapuava-pr-65m2-id-2833764280/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 1.950,Rua Gerânios,Rua Gerânios,2.0,2.0,48.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-batel-guarapuava-pr-48m2-id-2867490059/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 850,Rua Guaíra,Rua Guaíra,1.0,1.0,30.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-cozinha-centro-guarapuava-pr-30m2-id-2848244955/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 260.000,,Travessa Arlindo Antunes de Almeida,2.0,1.0,48.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-boqueirao-guarapuava-pr-48m2-id-2845153415/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 2.700,Rua Izidoro Nascimento Barbosa,Rua Izidoro Nascimento Barbosa,3.0,1.0,98.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-morro-alto-guarapuava-pr-98m2-id-2825745218/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 2.200,Rua Bernardo José de Lacerda,Rua Bernardo José de Lacerda,3.0,2.0,93.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-cozinha-santa-cruz-guarapuava-pr-93m2-id-2848518714/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 450,Rua Juvenal Caldas,Rua Juvenal Caldas,1.0,1.0,30.0,https://www.zapimoveis.com.br/imovel/aluguel-quitinete-1-quarto-com-sala-de-jantar-trianon-guarapuava-pr-30m2-id-2859317954/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
R$ 250.000,Rua Cristina Zimmer,Rua Cristina Zimmer,3.0,2.0,100.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-boqueirao-guarapuava-pr-100m2-id-2825745029/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 10:27:15
