preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 2.100.000,Rua Antônio Moro,"Sobrado para comprar com 480 m², 4 quartos, 6 banheiros, 2 vagas emEstrela, Ponta Grossa",4.0,6.0,480.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-com-piscina-estrela-ponta-grossa-480m2-id-2686101009/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:29:15
R$ 3.500.000,Rua Doutor Leopoldo Guimarães da Cunha,"Casa para comprar com 630 m², 4 quartos, 6 banheiros emOficinas, Ponta Grossa",4.0,6.0,630.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-piscina-oficinas-ponta-grossa-630m2-id-2672909128/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:29:15
R$ 2.500.000,Avenida Antônio Rodrigues Teixeira Júnior,"Casa para comprar com 650 m², 4 quartos, 7 banheiros, 4 vagas emJardim Carvalho, Ponta Grossa",4.0,7.0,650.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-jardim-carvalho-ponta-grossa-650m2-id-2672910662/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:29:15
R$ 550.000,Rua Pedro Mascarenhas Ribas,"Sobrado para comprar com 96 m², 3 quartos, 3 banheiros, 3 vagas emJardim Carvalho, Ponta Grossa",3.0,3.0,96.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-jardim-carvalho-ponta-grossa-96m2-id-2686097429/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:29:15
R$ 1.300.000,Rua Major Alceu Teixeira Pinto,"Sobrado para comprar com 286 m², 3 quartos, 5 banheiros, 2 vagas emEstrela, Ponta Grossa",3.0,5.0,286.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-estrela-ponta-grossa-286m2-id-2780320734/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:29:15
R$ 750.000,Rua Alcides da Silva Rocha,"Casa para comprar com 180 m², 3 quartos, 2 banheiros, 2 vagas emEstrela, Ponta Grossa",3.0,2.0,180.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-estrela-ponta-grossa-180m2-id-2813482415/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:29:15
R$ 1.200.000,Rua Suíça,"Sobrado para comprar com 238 m², 3 quartos, 4 banheiros, 4 vagas emOficinas, Ponta Grossa",3.0,4.0,238.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-oficinas-ponta-grossa-238m2-id-2769265619/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:29:15
R$ 400.000,Rua Zulmar Costa Pinto,"Casa para comprar com 114 m², 4 quartos, 3 banheiros, 3 vagas emCará-cará, Ponta Grossa",4.0,3.0,114.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-cara-cara-ponta-grossa-114m2-id-2730982918/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:29:15
R$ 480.000,Rua Alberto Tramontin,"Casa para comprar com 150 m², 2 quartos, 2 banheiros, 2 vagas emContorno, Ponta Grossa",2.0,2.0,150.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-contorno-ponta-grossa-150m2-id-2811021318/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:29:15
R$ 650.000,Avenida José Primor,"Casa para comprar com 260 m², 4 quartos, 3 banheiros, 5 vagas emUvaranas, Ponta Grossa",4.0,3.0,260.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-churrasqueira-uvaranas-ponta-grossa-260m2-id-2769260597/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:29:15
