preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 673.360,Rua Califórnia,"Lote/Terreno para comprar com 10 m² emOlarias, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-olarias-ponta-grossa-10m2-id-2809927473/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:11:49
R$ 600.000,Rua Antônio Vieira,"Lote/Terreno para comprar com 10 m² emOrfãs, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-orfas-ponta-grossa-10m2-id-2765715431/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:11:49
R$ 700.000,Rua Comendador Miró,"Sala/Conjunto para comprar com 166 m², 3 banheiros emCentro, Ponta Grossa",,3.0,166.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-centro-ponta-grossa-166m2-id-2849227656/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:11:49
R$ 2.300.000,Rua João Silvio de Lara Machado,"Casa de condomínio para comprar com 354 m², 4 quartos, 5 banheiros, 2 vagas emJardim Carvalho, Ponta Grossa",4.0,5.0,354.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-jardim-carvalho-ponta-grossa-354m2-id-2833573016/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:11:49
R$ 1.680.000,Avenida União Pan-americana,"Casa de condomínio para comprar com 284 m², 3 quartos, 2 banheiros, 2 vagas emColônia Dona Luíza, Ponta Grossa",3.0,2.0,284.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-colonia-dona-luiza-ponta-grossa-284m2-id-2725006251/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:11:49
R$ 950.000,Rua Dom Pedro I,"Casa para comprar com 258 m², 4 quartos, 2 banheiros, 2 vagas emOficinas, Ponta Grossa",4.0,2.0,258.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-oficinas-ponta-grossa-258m2-id-2811021515/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:11:49
R$ 800.000,Rua Machado de Assis,"Sala/Conjunto para comprar com 210 m², 2 banheiros, 2 vagas emUvaranas, Ponta Grossa",,2.0,210.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-uvaranas-ponta-grossa-210m2-id-2825645804/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:11:49
R$ 2.500.000,Rua Joaquim de Paula Xavier,"Casa de condomínio para comprar com 360 m², 3 quartos, 4 banheiros, 2 vagas emEstrela, Ponta Grossa",3.0,4.0,360.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-estrela-ponta-grossa-360m2-id-2686098017/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:11:49
R$ 2.950.000,Rua Ódino Moro,"Casa para comprar com 400 m², 4 quartos, 6 banheiros emEstrela, Ponta Grossa",4.0,6.0,400.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-lavabo-estrela-ponta-grossa-400m2-id-2800284817/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:11:49
R$ 1.200.000,Rua Cedro,"Casa para comprar com 280 m², 4 quartos, 4 banheiros, 2 vagas emContorno, Ponta Grossa",4.0,4.0,280.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-churrasqueira-contorno-ponta-grossa-280m2-id-2769264142/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:11:49
