preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 450.000,Rua Doutor Estevam Ribeiro de Souza Neto,"Casa para comprar com 320 m², 3 quartos, 2 banheiros, 2 vagas emContorno, Ponta Grossa",3.0,2.0,320.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-contorno-ponta-grossa-320m2-id-2741313455/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:54:04
R$ 720.000,Rua Vereador Ernâni Batista Rosas,"Casa para comprar com 123 m², 2 quartos, 2 banheiros, 2 vagas emJardim Carvalho, Ponta Grossa",2.0,2.0,123.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-area-de-servico-jardim-carvalho-ponta-grossa-123m2-id-2725004115/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:54:04
R$ 900.000,Rua Graça Aranha,"Casa para comprar com 320 m², 4 quartos, 3 banheiros, 2 vagas emOficinas, Ponta Grossa",4.0,3.0,320.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-sala-de-jantar-oficinas-ponta-grossa-320m2-id-2769265313/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:54:04
R$ 980.000,Rua Luciano Marçal,"Casa para comprar com 153 m², 3 quartos, 2 banheiros, 4 vagas emJardim Carvalho, Ponta Grossa",3.0,2.0,153.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-jardim-carvalho-ponta-grossa-153m2-id-2594536356/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:54:04
R$ 550.000,Rua Barbosa Rodrigues,"Sobrado para comprar com 170 m², 3 quartos, 1 banheiro emUvaranas, Ponta Grossa",3.0,1.0,170.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-uvaranas-ponta-grossa-170m2-id-2800284625/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:54:04
R$ 450.000,Alameda Coronel Camisão,"Casa para comprar com 102 m², 3 quartos, 1 banheiro, 1 vaga emUvaranas, Ponta Grossa",3.0,1.0,102.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-uvaranas-ponta-grossa-102m2-id-2818087645/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:54:04
R$ 799.000,Avenida General Aldo Bonde,"Casa de condomínio para comprar com 160 m², 3 quartos, 3 banheiros, 3 vagas emContorno, Ponta Grossa",3.0,3.0,160.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-contorno-ponta-grossa-160m2-id-2608573490/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:54:04
R$ 378.000,Rua Rodrigo Silva,"Sobrado para comprar com 103 m², 3 quartos, 2 banheiros, 2 vagas emUvaranas, Ponta Grossa",3.0,2.0,103.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-uvaranas-ponta-grossa-103m2-id-2864960321/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:54:04
R$ 500.000,Rua Couto Magalhães,"Lote/Terreno para comprar com 660 m² emNova Rússia, Ponta Grossa",,,660.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-nova-russia-ponta-grossa-660m2-id-2765000134/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:54:04
R$ 1.250.000,Rua Amazonas,"Apartamento para comprar com 141 m², 3 quartos, 2 banheiros, 2 vagas emEstrela, Ponta Grossa",3.0,2.0,141.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-estrela-ponta-grossa-141m2-id-2863446455/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:54:04
