preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 220.000,Rua Afonso Celso,"Apartamento para comprar com 58 m², 2 quartos, 1 banheiro, 2 vagas emUvaranas, Ponta Grossa",2.0,1.0,58.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-uvaranas-ponta-grossa-58m2-id-2825649235/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:19
R$ 595.000,,"Apartamento para comprar com 98 m², 2 quartos, 2 banheiros, 2 vagas emOrfãs, Ponta Grossa",2.0,2.0,98.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-orfas-ponta-grossa-98m2-id-2797388920/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:19
R$ 620.000,,"Apartamento para comprar com 209 m², 2 quartos, 3 banheiros, 2 vagas emEstrela, Ponta Grossa",2.0,3.0,209.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-estrela-ponta-grossa-209m2-id-2797387253/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:19
R$ 284.900,Avenida União Pan-americana,"Apartamento para comprar com 43 m², 2 quartos, 1 banheiro, 1 vaga emColônia Dona Luíza, Ponta Grossa",2.0,1.0,43.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-varanda-colonia-dona-luiza-ponta-grossa-43m2-id-2789264518/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:19
R$ 395.000,Travessa Debret,"Casa para comprar com 90 m², 2 quartos, 1 banheiro, 2 vagas emOrfãs, Ponta Grossa",2.0,1.0,90.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-orfas-ponta-grossa-90m2-id-2725005943/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:19
R$ 670.000,Rua Benjamin Constant,"Apartamento para comprar com 100 m², 3 quartos, 3 banheiros, 2 vagas emCentro, Ponta Grossa",3.0,3.0,100.0,https://www.zapimoveis.com.br/imovel/venda-3-quartos-com-piscina-centro-ponta-grossa-100m2-id-2812948922/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:19
R$ 499.000,Rua Quinze de Setembro,"Casa para comprar com 150 m², 3 quartos, 2 banheiros, 3 vagas emUvaranas, Ponta Grossa",3.0,2.0,150.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-uvaranas-ponta-grossa-150m2-id-2636868968/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:19
R$ 330.000,Rua Paulo Frontin,"Apartamento para comprar com 92 m², 2 quartos, 1 banheiro, 1 vaga emOrfãs, Ponta Grossa",2.0,1.0,92.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-orfas-ponta-grossa-92m2-id-2836084019/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:19
R$ 168.000,Rua Adão Lara dos Santos,"Casa para comprar com 174 m², 2 quartos, 1 banheiro, 1 vaga emCará-cará, Ponta Grossa",2.0,1.0,174.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-cara-cara-ponta-grossa-174m2-id-2863371369/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:19
R$ 380.000,Rua Marechal Deodoro da Fonseca,"Apartamento para comprar com 71 m², 2 quartos, 2 banheiros, 1 vaga emCentro, Ponta Grossa",2.0,2.0,71.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-centro-ponta-grossa-71m2-id-2854387317/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:19
R$ 395.000,Rua Rodrigo Silva,"Sobrado para comprar com 96 m², 3 quartos, 3 banheiros, 1 vaga emUvaranas, Ponta Grossa",3.0,3.0,96.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-cozinha-uvaranas-ponta-grossa-96m2-id-2766989421/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:19
R$ 290.000,Rua João Silvio de Lara Machado,"Lote/Terreno para comprar com 302 m² emJardim Carvalho, Ponta Grossa",,,302.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-jardim-carvalho-ponta-grossa-302m2-id-2834116219/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:19
R$ 285.000,Rua Edilson Araújo,"Apartamento para comprar com 60 m², 3 quartos, 1 banheiro, 2 vagas emCará-cará, Ponta Grossa",3.0,1.0,60.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-cara-cara-ponta-grossa-60m2-id-2625988669/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:40:19
