preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 132.000,Rua Freud,"Apartamento para comprar com 63 m², 3 quartos, 1 banheiro, 1 vaga emColônia Dona Luíza, Ponta Grossa",3.0,1.0,63.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-colonia-dona-luiza-ponta-grossa-63m2-id-2635410162/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 130.000,Rua Arnaldo José de Moraes,"Lote/Terreno para comprar com 225 m² emCará-cará, Ponta Grossa",,,225.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-cara-cara-ponta-grossa-225m2-id-2855656814/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 465.000,Rua Emiliano Perneta,"Sobrado para comprar com 127 m², 3 quartos, 1 banheiro, 5 vagas emUvaranas, Ponta Grossa",3.0,1.0,127.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-uvaranas-ponta-grossa-127m2-id-2726158822/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 285.000,Rua Ângelo Madalozzo,"Apartamento para comprar com 60 m², 3 quartos, 1 banheiro, 1 vaga emJardim Carvalho, Ponta Grossa",3.0,1.0,60.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-jardim-carvalho-ponta-grossa-60m2-id-2857388058/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 299.000,Rua Coronel Dulcídio,"Apartamento para comprar com 47 m², 2 quartos, 1 banheiro, 1 vaga emCentro, Ponta Grossa",2.0,1.0,47.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-centro-ponta-grossa-47m2-id-2845417066/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 1.700.000,Rua Nilo Peçanha,"Cobertura para comprar com 232 m², 3 quartos, 3 banheiros, 2 vagas emEstrela, Ponta Grossa",3.0,3.0,232.0,https://www.zapimoveis.com.br/imovel/venda-cobertura-3-quartos-mobiliado-estrela-ponta-grossa-232m2-id-2737772215/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 380.000,Rua Balduíno Taques,"Sala/Conjunto para comprar com 280 m², 3 banheiros emCentro, Ponta Grossa",,3.0,280.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-centro-ponta-grossa-280m2-id-2790537722/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 359.900,Rua Estanislau Schastai Kossemba,"Sobrado para comprar com 80 m², 2 quartos, 1 banheiro, 1 vaga emColônia Dona Luíza, Ponta Grossa",2.0,1.0,80.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-churrasqueira-colonia-dona-luiza-ponta-grossa-80m2-id-2725004119/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 129.948,Rua Cirema Becker,"Casa para comprar com 86 m², 2 quartos, 1 banheiro emContorno, Ponta Grossa",2.0,1.0,86.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-contorno-ponta-grossa-86m2-id-2857921694/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 100.741,Rua José Ventura Novaes,"Casa para comprar com 102 m², 2 quartos, 1 banheiro emNeves, Ponta Grossa",2.0,1.0,102.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-neves-ponta-grossa-102m2-id-2866211242/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 220.000,Rua Pedro Blageski,"Apartamento para comprar com 57 m², 3 quartos, 1 banheiro emEstrela, Ponta Grossa",3.0,1.0,57.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-estrela-ponta-grossa-57m2-id-2609988987/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 460.000,Rua Capitão Benedito Lopes de Bragança,"Sobrado para comprar com 140 m², 3 quartos, 2 banheiros, 1 vaga emEstrela, Ponta Grossa",3.0,2.0,140.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-estrela-ponta-grossa-140m2-id-2804163316/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 6.650.000,Rua José Pedro Moreira,"Lote/Terreno para comprar com 10 m² emRonda, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-ronda-ponta-grossa-10m2-id-2672911332/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 255.000,Rua Joaquim Meneleu de Almeida Torres,"Sobrado para comprar com 53 m², 2 quartos, 2 banheiros, 1 vaga emUvaranas, Ponta Grossa",2.0,2.0,53.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-uvaranas-ponta-grossa-53m2-id-2722497134/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 590.000,Rua Siqueira Campos,"Casa de condomínio para comprar com 150 m², 3 quartos, 3 banheiros, 2 vagas emUvaranas, Ponta Grossa",3.0,3.0,150.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-uvaranas-ponta-grossa-150m2-id-2622579127/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 285.000,Rua Domício da Gama,"Apartamento para comprar com 48 m², 2 quartos, 2 banheiros, 1 vaga emOlarias, Ponta Grossa",2.0,2.0,48.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-olarias-ponta-grossa-48m2-id-2827514933/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 280.000,Rua Alfredo Kepp,"Sobrado para comprar com 60 m², 2 quartos, 1 banheiro, 1 vaga emJardim Carvalho, Ponta Grossa",2.0,1.0,60.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-churrasqueira-jardim-carvalho-ponta-grossa-60m2-id-2725004997/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 190.000,Rua Bocaiúva do Sul,"Casa para comprar com 55 m², 3 quartos, 1 banheiro, 2 vagas emOficinas, Ponta Grossa",3.0,1.0,55.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-oficinas-ponta-grossa-55m2-id-2559401499/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 6.700.000,Rua Doutor Plauto Miró Guimarães,"Fazenda/Sítio/Chácara para comprar com 16640 m², 3 quartos, 2 banheiros emBoa Vista, Ponta Grossa",3.0,2.0,16640.0,https://www.zapimoveis.com.br/imovel/venda-fazenda-sitio-chacara-3-quartos-boa-vista-ponta-grossa-16640m2-id-2714007496/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 2.200.000,Rua Alberto Tramontin,"Fazenda/Sítio/Chácara para comprar com 239 m², 2 quartos, 3 banheiros, 2 vagas emContorno, Ponta Grossa",2.0,3.0,239.0,https://www.zapimoveis.com.br/imovel/venda-fazenda-sitio-chacara-2-quartos-com-churrasqueira-contorno-ponta-grossa-239m2-id-2837911622/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 280.000,Rua Santos Dumont,"Apartamento para comprar com 65 m², 2 quartos, 1 banheiro, 1 vaga emCentro, Ponta Grossa",2.0,1.0,65.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-centro-ponta-grossa-65m2-id-2864720161/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 370.000,Rua Sete de Setembro,"Apartamento para comprar com 122 m², 3 quartos, 2 banheiros, 1 vaga emCentro, Ponta Grossa",3.0,2.0,122.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-centro-ponta-grossa-122m2-id-2643610932/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
R$ 1.500.000,Rua Doutor Leopoldo Guimarães da Cunha,"Sobrado para comprar com 372 m², 4 quartos, 6 banheiros, 4 vagas emOficinas, Ponta Grossa",4.0,6.0,372.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-com-piscina-oficinas-ponta-grossa-372m2-id-2830403514/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:25:38
