preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 650.000,Rua Balduíno Taques,"Apartamento para comprar com 130 m², 3 quartos, 1 banheiro, 2 vagas emEstrela, Ponta Grossa",3.0,1.0,130.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-estrela-ponta-grossa-130m2-id-2825645807/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:51:57
R$ 290.000,Rua Augusto Severo,"Lote/Terreno para comprar com 340 m² emNova Rússia, Ponta Grossa",,,340.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-nova-russia-ponta-grossa-340m2-id-2769261487/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:51:57
R$ 290.000,Rua Doutor Abraão Glasser,"Lote/Terreno para comprar com 440 m² emUvaranas, Ponta Grossa",,,440.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-uvaranas-ponta-grossa-440m2-id-2769263760/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:51:57
R$ 348.000,Avenida União Pan-americana,"Apartamento para comprar com 59 m², 3 quartos, 1 banheiro, 1 vaga emColônia Dona Luíza, Ponta Grossa",3.0,1.0,59.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-colonia-dona-luiza-ponta-grossa-59m2-id-2842008181/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:51:57
R$ 900.000,Rua João Silvio de Lara Machado,"Casa de condomínio para comprar com 150 m², 3 quartos, 3 banheiros, 2 vagas emJardim Carvalho, Ponta Grossa",3.0,3.0,150.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-jardim-carvalho-ponta-grossa-150m2-id-2766989717/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:51:57
R$ 799.900,Rua Freire Alemão,"Apartamento para comprar com 135 m², 3 quartos, 2 banheiros, 1 vaga emEstrela, Ponta Grossa",3.0,2.0,135.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-estrela-ponta-grossa-135m2-id-2867280680/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:51:57
R$ 350.000,Avenida Senador Flávio Carvalho Guimarães,"Sobrado para comprar com 320 m², 2 quartos, 1 banheiro, 3 vagas emBoa Vista, Ponta Grossa",2.0,1.0,320.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-churrasqueira-boa-vista-ponta-grossa-320m2-id-2769263831/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:51:57
R$ 225.000,Rua João Silvio de Lara Machado,"Lote/Terreno para comprar com 320 m² emJardim Carvalho, Ponta Grossa",,,320.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-320m2-id-2800282135/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:51:57
R$ 900.000,Rua Paulo Furtado Velasco,"Apartamento para comprar com 129 m², 3 quartos, 2 banheiros, 2 vagas emCentro, Ponta Grossa",3.0,2.0,129.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-centro-ponta-grossa-129m2-id-2672908094/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:51:57
R$ 535.370,Rua Engenheiro Grevile,"Lote/Terreno para comprar com 535 m² emColônia Dona Luíza, Ponta Grossa",,,535.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-colonia-dona-luiza-ponta-grossa-535m2-id-2825650113/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:51:57
