preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 3.200.000,Rua Ódino Moro,"Casa de condomínio para comprar com 346 m², 3 quartos, 6 banheiros, 2 vagas emEstrela, Ponta Grossa",3.0,6.0,346.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-salao-de-festas-estrela-ponta-grossa-346m2-id-2838734217/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 870.000,Rua Marquês do Paraná,"Imóvel comercial para comprar com 208 m², 1 quarto, 3 banheiros, 2 vagas emRonda, Ponta Grossa",1.0,3.0,208.0,https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-ronda-ponta-grossa-208m2-id-2700792688/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 950.000,Rua José Bonifácio,"Sala/Conjunto para comprar com 416 m² emOrfãs, Ponta Grossa",,,416.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-orfas-ponta-grossa-416m2-id-2825649061/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 1.100.000,Rua Francisco Camerino,"Lote/Terreno para comprar com 10 m² emOrfãs, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-orfas-ponta-grossa-10m2-id-2842543927/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 900.000,Rua Frei Caneca,"Imóvel comercial para comprar com 360 m², 6 quartos, 3 banheiros, 3 vagas emCentro, Ponta Grossa",6.0,3.0,360.0,https://www.zapimoveis.com.br/imovel/venda-casa-6-quartos-centro-ponta-grossa-360m2-id-2672911494/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 700.000,Rua Padre João Lux,"Casa para comprar com 189 m², 4 quartos, 1 banheiro, 2 vagas emCentro, Ponta Grossa",4.0,1.0,189.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-churrasqueira-centro-ponta-grossa-189m2-id-2725005838/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 1.850.000,Rua Comendador Miró,"Lote/Terreno para comprar com 10 m² emCentro, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-centro-ponta-grossa-10m2-id-2833222396/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 490.000,Rua Visconde de Baraúna,"Lote/Terreno para comprar com 394 m² emJardim Carvalho, Ponta Grossa",,,394.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-394m2-id-2775757651/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 1.500.000,Rua Nestor Guimarães,"Apartamento para comprar com 10 m², 3 quartos, 3 banheiros, 2 vagas emEstrela, Ponta Grossa",3.0,3.0,10.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-estrela-ponta-grossa-10m2-id-2672908960/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 573.000,Avenida Rocha Pombo,"Lote/Terreno para comprar com 480 m² emJardim Carvalho, Ponta Grossa",,,480.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-480m2-id-2672910416/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 900.000,Avenida General Carlos Cavalcanti,"Sala/Conjunto para comprar com 120 m², 1 banheiro emUvaranas, Ponta Grossa",,1.0,120.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-uvaranas-ponta-grossa-120m2-id-2823108053/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 590.000,Rua Barão de Teffe,"Lote/Terreno para comprar com 229 m² emCentro, Ponta Grossa",,,229.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-centro-ponta-grossa-229m2-id-2769263826/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 6.000.000,Rua Aprizio Moletta,"Galpão/Depósito/Armazém para comprar com 15193 m² emCará-cará, Ponta Grossa",,,15193.0,https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-cara-cara-ponta-grossa-15193m2-id-2868771095/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 1.250.000,Rua Professor Ivon Zardo,"Casa para comprar com 235 m², 4 quartos, 3 banheiros emEstrela, Ponta Grossa",4.0,3.0,235.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-estrela-ponta-grossa-235m2-id-2746907334/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 790.000,Rua Lagoa Azul,"Lote/Terreno para comprar com 840 m² emOficinas, Ponta Grossa",,,840.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-oficinas-ponta-grossa-840m2-id-2825650119/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 600.000,Rua Ermelino de Leão,"Apartamento para comprar com 81 m², 3 quartos, 2 banheiros emOlarias, Ponta Grossa",3.0,2.0,81.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-olarias-ponta-grossa-81m2-id-2825743815/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 1.480.000,Rua Francisco Otaviano,"Ponto comercial/Loja/Box para comprar com 496 m², 3 banheiros, 6 vagas emNova Rússia, Ponta Grossa",,3.0,496.0,https://www.zapimoveis.com.br/imovel/venda-loja-salao-nova-russia-ponta-grossa-496m2-id-2853920265/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 2.500.000,Rua Hermínio Baggio,"Casa para comprar com 346 m², 4 quartos, 6 banheiros, 3 vagas emEstrela, Ponta Grossa",4.0,6.0,346.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-estrela-ponta-grossa-346m2-id-2829737145/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 5.900.000,Avenida Senador Flávio Carvalho Guimarães,"Lote/Terreno para comprar com 10 m² emBoa Vista, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-boa-vista-ponta-grossa-10m2-id-2809932426/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 2.000.000,Rua Doutor Leopoldo Guimarães da Cunha,"Apartamento para comprar com 487 m², 4 quartos, 5 banheiros, 3 vagas emOficinas, Ponta Grossa",4.0,5.0,487.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-oficinas-ponta-grossa-487m2-id-2823893634/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 380.000,Rua Francisco Martins de Araújo,"Lote/Terreno para comprar com 10 m² emJardim Carvalho, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-10m2-id-2685426542/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 1.490.000,Rua General Carneiro,"Apartamento para comprar com 247 m², 2 quartos, 3 banheiros, 3 vagas emCentro, Ponta Grossa",2.0,3.0,247.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-centro-ponta-grossa-247m2-id-2830654838/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 1.420.000,Rua João Silvio de Lara Machado,"Casa de condomínio para comprar com 211 m², 3 quartos, 4 banheiros, 4 vagas emJardim Carvalho, Ponta Grossa",3.0,4.0,211.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-jardim-carvalho-ponta-grossa-211m2-id-2559401586/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 2.700.000,Rua Venezuela,"Apartamento para comprar com 180 m², 3 quartos, 2 banheiros emOficinas, Ponta Grossa",3.0,2.0,180.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-oficinas-ponta-grossa-180m2-id-2813866724/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 650.000,Rua João Cecy Filho,"Sobrado para comprar com 116 m², 3 quartos, 1 banheiro, 2 vagas emUvaranas, Ponta Grossa",3.0,1.0,116.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-uvaranas-ponta-grossa-116m2-id-2864962229/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 630.000,Rua Antonina Szathowski,"Lote/Terreno para comprar com 495 m² emPiriquitos, Ponta Grossa",,,495.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-piriquitos-ponta-grossa-495m2-id-2801511722/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 1.650.000,Rua Joanna Gorte,"Sobrado para comprar com 290 m², 3 quartos, 4 banheiros, 5 vagas emUvaranas, Ponta Grossa",3.0,4.0,290.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-uvaranas-ponta-grossa-290m2-id-2686102397/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 1.255.046,Rua Padre Nóbrega,"Apartamento para comprar com 139 m², 3 quartos, 1 banheiro, 3 vagas emEstrela, Ponta Grossa",3.0,1.0,139.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-estrela-ponta-grossa-139m2-id-2672909713/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 1.044.948,Rua Augusto Ribas,"Apartamento para comprar com 10 m², 3 quartos, 2 banheiros, 2 vagas emCentro, Ponta Grossa",3.0,2.0,10.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-centro-ponta-grossa-10m2-id-2672909790/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 1.150.000,Rua João Silvio de Lara Machado,"Casa de condomínio para comprar com 150 m², 3 quartos, 3 banheiros, 4 vagas emJardim Carvalho, Ponta Grossa",3.0,3.0,150.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-churrasqueira-jardim-carvalho-ponta-grossa-150m2-id-2643882228/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 380.000,Rua Saldanha Marinho,Rua Saldanha Marinho,2.0,1.0,65.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-lavanderia-coletiva-trianon-guarapuava-pr-65m2-id-2833764280/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 360.000,Rua Coronel Manoel Marcondes,Rua Coronel Manoel Marcondes,2.0,2.0,64.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-santa-cruz-guarapuava-pr-64m2-id-2825743325/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 1.950,Rua Gerânios,Rua Gerânios,2.0,2.0,48.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-batel-guarapuava-pr-48m2-id-2867490059/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 850,Rua Guaíra,Rua Guaíra,1.0,1.0,30.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-cozinha-centro-guarapuava-pr-30m2-id-2848244955/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 3.500,Rua Goiás,Rua Goiás,4.0,2.0,163.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-churrasqueira-dos-estados-guarapuava-pr-163m2-id-2858252470/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
R$ 260.000,,Travessa Arlindo Antunes de Almeida,2.0,1.0,48.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-boqueirao-guarapuava-pr-48m2-id-2845153415/?source=showcase%2Crp,ponta-grossa,pr,2026-02-09 09:10:15
