preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 650.000,Rua João Maurício Faivre,"Sobrado para comprar com 129 m², 1 quarto, 1 banheiro, 1 vaga emEstrela, Ponta Grossa",1.0,1.0,129.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-1-quarto-com-varanda-estrela-ponta-grossa-129m2-id-2867628589/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:46:04
R$ 609.000,Rua Couto Magalhães,"Apartamento para comprar com 190 m², 3 quartos, 2 banheiros, 1 vaga emNova Rússia, Ponta Grossa",3.0,2.0,190.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-nova-russia-ponta-grossa-190m2-id-2781051537/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:46:04
R$ 990.000,Rua Balduíno Taques,"Apartamento para comprar com 140 m², 3 quartos, 2 banheiros, 2 vagas emOrfãs, Ponta Grossa",3.0,2.0,140.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-orfas-ponta-grossa-140m2-id-2863552367/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:46:04
R$ 480.000,Rua João Aparecido Pereira da Silva,"Casa para comprar com 117 m², 2 quartos, 1 banheiro, 1 vaga emContorno, Ponta Grossa",2.0,1.0,117.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-contorno-ponta-grossa-117m2-id-2682864683/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:46:04
R$ 435.000,Rua João Schmidt Filho,"Sobrado para comprar com 112 m², 3 quartos, 1 banheiro, 3 vagas emContorno, Ponta Grossa",3.0,1.0,112.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-contorno-ponta-grossa-112m2-id-2567552410/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:46:04
R$ 400.000,Avenida Anita Garibaldi,"Apartamento para comprar com 71 m², 2 quartos, 1 banheiro, 1 vaga emOrfãs, Ponta Grossa",2.0,1.0,71.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-lavanderia-coletiva-orfas-ponta-grossa-71m2-id-2866275754/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:46:04
R$ 895.000,Rua Freire Alemão,"Apartamento para comprar com 190 m², 3 quartos, 3 banheiros, 2 vagas emEstrela, Ponta Grossa",3.0,3.0,190.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-estrela-ponta-grossa-190m2-id-2828877849/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:46:04
R$ 280.000,Rua Nicolau Kluppel Neto,"Apartamento para comprar com 53 m², 2 quartos, 1 banheiro, 1 vaga emContorno, Ponta Grossa",2.0,1.0,53.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-contorno-ponta-grossa-53m2-id-2844141139/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:46:04
R$ 150.000,Rua José Alcemir Pedroso,"Lote/Terreno para comprar com 310 m² emNeves, Ponta Grossa",,,310.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-neves-ponta-grossa-310m2-id-2765836898/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:46:04
R$ 650.000,Rua General Cândido Rondon,"Apartamento para comprar com 153 m², 3 quartos, 3 banheiros, 1 vaga emNova Rússia, Ponta Grossa",3.0,3.0,153.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-armario-de-cozinha-nova-russia-ponta-grossa-153m2-id-2769264463/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:46:04
R$ 400.000,Rua Frederico Bahls,"Apartamento para comprar com 137 m², 3 quartos, 3 banheiros, 1 vaga emCentro, Ponta Grossa",3.0,3.0,137.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-centro-ponta-grossa-137m2-id-2769265441/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:46:04
R$ 395.000,Avenida Anita Garibaldi,"Apartamento para comprar com 60 m², 2 quartos, 1 banheiro, 1 vaga emOrfãs, Ponta Grossa",2.0,1.0,60.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-orfas-ponta-grossa-60m2-id-2632706781/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:46:04
R$ 340.000,Rua Doze de Outubro,"Lote/Terreno para comprar com 168 m² emCentro, Ponta Grossa",,,168.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-centro-ponta-grossa-168m2-id-2605569878/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:46:04
R$ 360.000,Rua Frederico Bahls,"Apartamento para comprar com 85 m², 3 quartos, 2 banheiros, 1 vaga emCentro, Ponta Grossa",3.0,2.0,85.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-centro-ponta-grossa-85m2-id-2825648943/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:46:04
R$ 710.000,Rua Emílio de Menezes,"Apartamento para comprar com 170 m², 3 quartos, 3 banheiros, 2 vagas emEstrela, Ponta Grossa",3.0,3.0,170.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-estrela-ponta-grossa-170m2-id-2704338441/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:46:04
R$ 890.000,Avenida Anita Garibaldi,"Apartamento para comprar com 136 m², 3 quartos, 3 banheiros, 2 vagas emOrfãs, Ponta Grossa",3.0,3.0,136.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-orfas-ponta-grossa-136m2-id-2775100024/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:46:04
