preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 123.000,Rua Vera Lucia Mayer Nageia,"Lote/Terreno para comprar com 300 m² emCará-cará, Ponta Grossa",,,300.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-cara-cara-ponta-grossa-300m2-id-2800284826/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:30:25
R$ 1.350.000,Rua Aderly Turek,"Casa de condomínio para comprar com 222 m², 3 quartos, 3 banheiros, 4 vagas emCará-cará, Ponta Grossa",3.0,3.0,222.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-mobiliado-cara-cara-ponta-grossa-222m2-id-2800283046/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:30:25
R$ 699.000,Rua Arnaldo José de Moraes,"Casa para comprar com 136 m², 3 quartos, 2 banheiros, 4 vagas emCará-cará, Ponta Grossa",3.0,2.0,136.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-cara-cara-ponta-grossa-136m2-id-2825667046/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:30:25
R$ 220.000,Rua José Alcemir Pedroso,"Casa para comprar com 60 m², 2 quartos, 1 banheiro, 2 vagas emNeves, Ponta Grossa",2.0,1.0,60.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-area-de-servico-neves-ponta-grossa-60m2-id-2800280154/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:30:25
R$ 600.000,Rua Fernão Dias,"Casa para comprar com 183 m², 4 quartos, 3 banheiros emOficinas, Ponta Grossa",4.0,3.0,183.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-lavabo-oficinas-ponta-grossa-183m2-id-2800282923/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:30:25
R$ 2.500.000,Rua Júlia Lopes,"Imóvel comercial para comprar com 406 m², 3 banheiros, 2 vagas emOrfãs, Ponta Grossa",,3.0,406.0,https://www.zapimoveis.com.br/imovel/venda-casa-com-ar-condicionado-orfas-ponta-grossa-406m2-id-2725007147/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:30:25
R$ 400.000,Rua Bento Ribeiro,"Apartamento para comprar com 88 m², 2 quartos, 1 banheiro, 1 vaga emNova Rússia, Ponta Grossa",2.0,1.0,88.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-nova-russia-ponta-grossa-88m2-id-2773908144/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:30:25
R$ 495.000,Rua Couto Magalhães,"Apartamento para comprar com 150 m², 3 quartos, 2 banheiros, 2 vagas emNova Rússia, Ponta Grossa",3.0,2.0,150.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-nova-russia-ponta-grossa-150m2-id-2766890218/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:30:25
R$ 900.000,Rua Siqueira Campos,"Lote/Terreno para comprar com 560 m² emCará-cará, Ponta Grossa",,,560.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-cara-cara-ponta-grossa-560m2-id-2684905597/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:30:25
R$ 1.400.000,,"Casa para comprar com 300 m², 1 quarto, 4 banheiros, 2 vagas emJardim Carvalho, Ponta Grossa",1.0,4.0,300.0,https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-com-area-de-servico-jardim-carvalho-ponta-grossa-300m2-id-2797388424/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:30:25
