preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 800.000,Rua Afonso Celso,"Casa para comprar com 319 m², 3 quartos, 1 banheiro, 2 vagas emUvaranas, Ponta Grossa",3.0,1.0,319.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-uvaranas-ponta-grossa-319m2-id-2825649168/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 900.000,Rua João Silvio de Lara Machado,"Casa de condomínio para comprar com 154 m², 3 quartos, 3 banheiros, 2 vagas emJardim Carvalho, Ponta Grossa",3.0,3.0,154.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-jardim-carvalho-ponta-grossa-154m2-id-2686101022/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 525.000,Rua Rio Grande do Sul,"Sobrado para comprar com 110 m², 3 quartos, 3 banheiros, 1 vaga emOrfãs, Ponta Grossa",3.0,3.0,110.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-cozinha-orfas-ponta-grossa-110m2-id-2655380471/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 1.800.000,,"Casa para comprar com 640 m², 3 quartos, 4 banheiros emJardim Carvalho, Ponta Grossa",3.0,4.0,640.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-jardim-carvalho-ponta-grossa-640m2-id-2797387323/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 220.000,Rodovia BR-376,"Lote/Terreno para comprar com 420 m² emColônia Dona Luíza, Ponta Grossa",,,420.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-colonia-dona-luiza-ponta-grossa-420m2-id-2725002612/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 350.000,Rua Dair Daher,"Lote/Terreno para comprar com 323 m² emBoa Vista, Ponta Grossa",,,323.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-boa-vista-ponta-grossa-323m2-id-2769264435/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 1.350.000,Rua Aderly Turek,"Casa de condomínio para comprar com 157 m², 3 quartos, 1 banheiro, 4 vagas emCará-cará, Ponta Grossa",3.0,1.0,157.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-cara-cara-ponta-grossa-157m2-id-2825648257/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 850.000,Rua Coronel Dulcídio,"Apartamento para comprar com 149 m², 3 quartos, 2 banheiros, 2 vagas emCentro, Ponta Grossa",3.0,2.0,149.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-centro-ponta-grossa-149m2-id-2851827814/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 929.900,Avenida Bonifácio Vilela,"Sala/Conjunto para comprar com 252 m², 5 banheiros, 10 vagas emJardim Carvalho, Ponta Grossa",,5.0,252.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-jardim-carvalho-ponta-grossa-252m2-id-2825649124/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 750.000,Rua Professora Judith Macedo Silveira,"Apartamento para comprar com 101 m², 3 quartos, 1 banheiro, 1 vaga emOlarias, Ponta Grossa",3.0,1.0,101.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-olarias-ponta-grossa-101m2-id-2848777033/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 450.000,Rua Augusto Severo,"Casa para comprar com 396 m², 3 quartos, 2 banheiros, 2 vagas emNova Rússia, Ponta Grossa",3.0,2.0,396.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-nova-russia-ponta-grossa-396m2-id-2806559321/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 150.000,Rua Ruy Procópio Pinheiro,"Lote/Terreno para comprar com 317 m² emCará-cará, Ponta Grossa",,,317.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-cara-cara-ponta-grossa-317m2-id-2824788119/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 830.000,Rua Alcides da Silva Rocha,"Casa para comprar com 239 m², 3 quartos, 2 banheiros, 2 vagas emEstrela, Ponta Grossa",3.0,2.0,239.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-estrela-ponta-grossa-239m2-id-2825647401/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 850.000,Rua Conselheiro Barradas,"Imóvel comercial para comprar com 220 m², 3 quartos, 3 banheiros emUvaranas, Ponta Grossa",3.0,3.0,220.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-area-de-servico-uvaranas-ponta-grossa-220m2-id-2766011758/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 1.823.785,Rua Doutor Manoel Antônio Braga Ramos,"Lote/Terreno para comprar com 888 m² emEstrela, Ponta Grossa",,,888.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-estrela-ponta-grossa-888m2-id-2829351053/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 770.000,Rua Londrina,"Casa para comprar com 158 m², 3 quartos, 1 banheiro, 4 vagas emNova Rússia, Ponta Grossa",3.0,1.0,158.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-nova-russia-ponta-grossa-158m2-id-2868016108/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 600.000,Rua Benjamin Constant,"Apartamento para comprar com 130 m², 2 quartos, 2 banheiros, 1 vaga emCentro, Ponta Grossa",2.0,2.0,130.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-centro-ponta-grossa-130m2-id-2725004278/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 340.000,Rua Olga Aleda Cavagnari,"Sobrado para comprar com 69 m², 3 quartos, 1 banheiro, 1 vaga emJardim Carvalho, Ponta Grossa",3.0,1.0,69.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-cozinha-jardim-carvalho-ponta-grossa-69m2-id-2725007137/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 790.000,Rua Califórnia,"Lote/Terreno para comprar com 10 m² emOlarias, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-olarias-ponta-grossa-10m2-id-2818524583/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 182.000,Rua Luciano Marçal,"Lote/Terreno para comprar com 0 m² emJardim Carvalho, Ponta Grossa",,,0.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-id-2589313369/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 500.000,Rua Uruguai,"Sala/Conjunto para comprar com 144 m², 3 quartos, 3 banheiros, 1 vaga emCentro, Ponta Grossa",3.0,3.0,144.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-3-quartos-centro-ponta-grossa-144m2-id-2823110523/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
R$ 350.000,Rua Castanheira,"Lote/Terreno para comprar com 350 m² emContorno, Ponta Grossa",,,350.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-contorno-ponta-grossa-350m2-id-2800285414/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:52:44
