preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 184.536,,"Lote/Terreno para comprar com 200 m² emJardim Carvalho, Ponta Grossa",,,200.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-200m2-id-2810883769/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:33:10
R$ 850.000,Rua Sinhara Natel de Paula,"Cobertura para comprar com 148 m², 3 quartos, 2 banheiros, 2 vagas emOrfãs, Ponta Grossa",3.0,2.0,148.0,https://www.zapimoveis.com.br/imovel/venda-cobertura-3-quartos-com-churrasqueira-orfas-ponta-grossa-148m2-id-2769265019/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:33:10
R$ 480.000,Rua Freire Alemão,"Apartamento para comprar com 96 m², 3 quartos, 2 banheiros emEstrela, Ponta Grossa",3.0,2.0,96.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-estrela-ponta-grossa-96m2-id-2864960336/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:33:10
R$ 158.816,Rua Rosemari Silva Belotto,"Lote/Terreno para comprar com 180 m² emNeves, Ponta Grossa",,,180.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-neves-ponta-grossa-180m2-id-2829355019/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:33:10
R$ 184.811,Rua Eduardo Burgardt,"Lote/Terreno para comprar com 200 m² emContorno, Ponta Grossa",,,200.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-contorno-ponta-grossa-200m2-id-2825647906/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:33:10
R$ 232.000,Avenida Siqueira Campos,"Apartamento para comprar com 55 m², 2 quartos, 1 banheiro, 1 vaga emUvaranas, Ponta Grossa",2.0,1.0,55.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-uvaranas-ponta-grossa-55m2-id-2755357675/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:33:10
R$ 700.000,Rua Dom Pedro I,"Sobrado para comprar com 350 m², 4 quartos, 3 banheiros, 2 vagas emOficinas, Ponta Grossa",4.0,3.0,350.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-com-churrasqueira-oficinas-ponta-grossa-350m2-id-2866972207/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:33:10
R$ 560.000,Rua Lauro Marcondes Ferreira,"Apartamento para comprar com 107 m², 3 quartos, 2 banheiros, 2 vagas emJardim Carvalho, Ponta Grossa",3.0,2.0,107.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-jardim-carvalho-ponta-grossa-107m2-id-2769264469/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:33:10
R$ 870.000,Rua Padre João Lux,"Apartamento para comprar com 244 m², 4 quartos, 4 banheiros, 2 vagas emCentro, Ponta Grossa",4.0,4.0,244.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-mobiliado-centro-ponta-grossa-244m2-id-2800283321/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:33:10
R$ 157.244,Rua Rosemari Silva Belotto,"Lote/Terreno para comprar com 180 m² emNeves, Ponta Grossa",,,180.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-neves-ponta-grossa-180m2-id-2823111626/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:33:10
