preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 720.000,Rua Doutor Colares,"Apartamento para comprar com 122 m², 2 quartos, 2 banheiros, 1 vaga emCentro, Ponta Grossa",2.0,2.0,122.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-centro-ponta-grossa-122m2-id-2862530579/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 220.000,Rua Valério Ronchi,"Apartamento para comprar com 46 m², 2 quartos, 1 banheiro, 1 vaga emUvaranas, Ponta Grossa",2.0,1.0,46.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-uvaranas-ponta-grossa-46m2-id-2866443271/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 140.000,Rua Senador Albuquerque Maranhão,"Lote/Terreno para comprar com 32364 m² emNeves, Ponta Grossa",,,32364.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-neves-ponta-grossa-32364m2-id-2867627295/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 1.600.000,Rua Siqueira Campos,"Lote/Terreno para comprar com 1800 m² emUvaranas, Ponta Grossa",,,1800.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-uvaranas-ponta-grossa-1800m2-id-2601276654/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 150.000,Rua Olavo Bilac,"Lote/Terreno para comprar com 490 m² emUvaranas, Ponta Grossa",,,490.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-uvaranas-ponta-grossa-490m2-id-2847534030/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 180.000,Rua Zeus,"Lote/Terreno para comprar com 360 m² emChapada, Ponta Grossa",,,360.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-chapada-ponta-grossa-360m2-id-2844307831/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 6.000.000,Rua Jacob Holzmann,"Lote/Terreno para comprar com 1189 m² emOlarias, Ponta Grossa",,,1189.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-olarias-ponta-grossa-1189m2-id-2835989113/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 1.200.000,Rua Ricardo Wagner,"Lote/Terreno para comprar com 1042 m² emOlarias, Ponta Grossa",,,1042.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-olarias-ponta-grossa-1042m2-id-2800285420/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 734.916,Rua Balduíno Taques,"Sala/Conjunto para comprar com 200 m², 2 banheiros, 2 vagas emCentro, Ponta Grossa",,2.0,200.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-armario-de-cozinha-centro-ponta-grossa-200m2-id-2800281746/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 280.000,Rua Possidônio da Cunha Santos,"Casa para comprar com 72 m², 2 quartos, 1 banheiro, 2 vagas emUvaranas, Ponta Grossa",2.0,1.0,72.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-uvaranas-ponta-grossa-72m2-id-2845902833/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 890.000,Rua Santos Dumont,"Lote/Terreno para comprar com 495 m² emCentro, Ponta Grossa",,,495.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-centro-ponta-grossa-495m2-id-2725002623/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 400.000,Rua Manoel Ferreira Pinto,"Apartamento para comprar com 84 m², 3 quartos, 3 banheiros, 1 vaga emCentro, Ponta Grossa",3.0,3.0,84.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-centro-ponta-grossa-84m2-id-2708151089/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 350.000,Rua Monte Alverne,"Apartamento para comprar com 120 m², 3 quartos, 2 banheiros, 2 vagas emJardim Carvalho, Ponta Grossa",3.0,2.0,120.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-jardim-carvalho-ponta-grossa-120m2-id-2769264453/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 390.000,Rua Olegário Mariano,"Apartamento para comprar com 128 m², 3 quartos, 2 banheiros, 2 vagas emNeves, Ponta Grossa",3.0,2.0,128.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-neves-ponta-grossa-128m2-id-2769264041/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 800.000,Rua Doutor Colares,"Cobertura para comprar com 383 m², 3 quartos, 3 banheiros, 2 vagas emCentro, Ponta Grossa",3.0,3.0,383.0,https://www.zapimoveis.com.br/imovel/venda-cobertura-3-quartos-com-escritorio-centro-ponta-grossa-383m2-id-2824869322/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 215.000,Rua Francisco Ribas,"Apartamento para comprar com 58 m², 1 quarto, 1 banheiro, 1 vaga emOrfãs, Ponta Grossa",1.0,1.0,58.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-churrasqueira-orfas-ponta-grossa-58m2-id-2867212058/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 350.000,Avenida Visconde de Mauá,"Apartamento para comprar com 55 m², 2 quartos, 1 banheiro, 1 vaga emOficinas, Ponta Grossa",2.0,1.0,55.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-oficinas-ponta-grossa-55m2-id-2795802986/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 630.000,Rua Afonso Celso,"Sobrado para comprar com 115 m², 3 quartos, 2 banheiros, 2 vagas emUvaranas, Ponta Grossa",3.0,2.0,115.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-uvaranas-ponta-grossa-115m2-id-2800284034/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 265.500,Avenida Siqueira Campos,"Apartamento para comprar com 67 m², 2 quartos, 2 banheiros, 1 vaga emUvaranas, Ponta Grossa",2.0,2.0,67.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-uvaranas-ponta-grossa-67m2-id-2800279156/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 590.000,Rua Doutor Paula Xavier,"Apartamento para comprar com 115 m², 3 quartos, 2 banheiros, 1 vaga emEstrela, Ponta Grossa",3.0,2.0,115.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-estrela-ponta-grossa-115m2-id-2725006359/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 450.000,Rua Romário Martins,"Casa para comprar com 100 m², 3 quartos, 1 banheiro, 1 vaga emNeves, Ponta Grossa",3.0,1.0,100.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-neves-ponta-grossa-100m2-id-2621393440/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 650.000,Rua Theodoro Rosas,"Apartamento para comprar com 201 m², 3 quartos, 3 banheiros, 2 vagas emCentro, Ponta Grossa",3.0,3.0,201.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-centro-ponta-grossa-201m2-id-2800283513/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
R$ 600.000,Rua Luiz de Camões,"Apartamento para comprar com 150 m², 3 quartos, 2 banheiros, 2 vagas emUvaranas, Ponta Grossa",3.0,2.0,150.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-uvaranas-ponta-grossa-150m2-id-2832677721/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:06:24
