preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 450.000,Rua Visconde de Baraúna,"Lote/Terreno para comprar com 395 m² emJardim Carvalho, Ponta Grossa",,,395.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-395m2-id-2800278450/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 1.100.000,,"Apartamento para comprar com 207 m², 2 quartos, 1 banheiro, 2 vagas emOficinas, Ponta Grossa",2.0,1.0,207.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-oficinas-ponta-grossa-207m2-id-2797386249/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 2.300.000,Avenida Anita Garibaldi,"Casa de condomínio para comprar com 278 m², 3 quartos, 4 banheiros, 5 vagas emOrfãs, Ponta Grossa",3.0,4.0,278.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-churrasqueira-orfas-ponta-grossa-278m2-id-2686097912/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 4.500.000,Avenida Bonifácio Vilela,"Casa para comprar com 210 m², 3 quartos, 3 banheiros, 4 vagas emJardim Carvalho, Ponta Grossa",3.0,3.0,210.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-jardim-carvalho-ponta-grossa-210m2-id-2838365635/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 2.800.000,Rua Joaquim de Paula Xavier,"Casa de condomínio para comprar com 10 m², 3 quartos, 4 banheiros, 2 vagas emEstrela, Ponta Grossa",3.0,4.0,10.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-estrela-ponta-grossa-10m2-id-2686099227/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 1.100.000,Rua Major Manoel Grott,"Casa para comprar com 350 m², 4 quartos, 4 banheiros, 2 vagas emOrfãs, Ponta Grossa",4.0,4.0,350.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-piscina-orfas-ponta-grossa-350m2-id-2725005692/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 1.200.000,Avenida General Carlos Cavalcanti,"Lote/Terreno para comprar com 660 m² emUvaranas, Ponta Grossa",,,660.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-uvaranas-ponta-grossa-660m2-id-2769264053/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 2.000.000,Rua Francisco Ribas,"Lote/Terreno para comprar com 10 m² emOrfãs, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-orfas-ponta-grossa-10m2-id-2672910338/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 400.000,Rua Sílvia Machado de Souza,"Lote/Terreno para comprar com 10 m² emEstrela, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-estrela-ponta-grossa-10m2-id-2715190764/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 1.747.000,Rua Valério Ronchi,"Casa de condomínio para comprar com 258 m², 4 quartos, 6 banheiros, 2 vagas emUvaranas, Ponta Grossa",4.0,6.0,258.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-uvaranas-ponta-grossa-258m2-id-2823112713/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 750.000,,"Apartamento para comprar com 224 m², 2 quartos, 1 banheiro, 2 vagas emCentro, Ponta Grossa",2.0,1.0,224.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-centro-ponta-grossa-224m2-id-2797389318/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 2.200.000,,"Casa para comprar com 284 m², 3 quartos, 4 banheiros emJardim Carvalho, Ponta Grossa",3.0,4.0,284.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-jardim-carvalho-ponta-grossa-284m2-id-2847108515/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 4.900.000,Rua Riachuelo,"Casa de condomínio para comprar com 400 m², 3 quartos, 5 banheiros emCentro, Ponta Grossa",3.0,5.0,400.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-piscina-centro-ponta-grossa-400m2-id-2804443394/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 3.000.000,Avenida Anita Garibaldi,"Sobrado para comprar com 457 m², 4 quartos, 2 banheiros, 5 vagas emOrfãs, Ponta Grossa",4.0,2.0,457.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-com-churrasqueira-orfas-ponta-grossa-457m2-id-2830403417/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 1.600.000,Rua Machado de Assis,"Casa para comprar com 280 m², 4 quartos, 2 banheiros, 4 vagas emUvaranas, Ponta Grossa",4.0,2.0,280.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-churrasqueira-uvaranas-ponta-grossa-280m2-id-2769579611/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 4.500.000,Rua Nunes Machado,"Casa para comprar com 418 m², 3 quartos, 5 banheiros, 2 vagas emColônia Dona Luíza, Ponta Grossa",3.0,5.0,418.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-colonia-dona-luiza-ponta-grossa-418m2-id-2700177790/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 1.850.000,Rua Amazonas,"Imóvel comercial para comprar com 435 m², 8 quartos, 6 banheiros, 4 vagas emEstrela, Ponta Grossa",8.0,6.0,435.0,https://www.zapimoveis.com.br/imovel/venda-casa-8-quartos-mobiliado-estrela-ponta-grossa-435m2-id-2800278443/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 350.000,Rua Castro Lopes,"Lote/Terreno para comprar com 10 m² emRonda, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-ronda-ponta-grossa-10m2-id-2672909015/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 1.500.000,Rua Saldanha da Gama,"Sobrado para comprar com 366 m², 4 quartos, 3 banheiros, 6 vagas emOrfãs, Ponta Grossa",4.0,3.0,366.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-orfas-ponta-grossa-366m2-id-2686102396/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 1.200.000,Rua Otacília Hasselmann de Oliveira,"Casa para comprar com 280 m², 3 quartos, 3 banheiros, 5 vagas emJardim Carvalho, Ponta Grossa",3.0,3.0,280.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-jardim-carvalho-ponta-grossa-280m2-id-2842666244/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 2.300.000,Rua João Silvio de Lara Machado,"Casa para comprar com 267 m², 3 quartos, 1 banheiro, 2 vagas emJardim Carvalho, Ponta Grossa",3.0,1.0,267.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-jardim-carvalho-ponta-grossa-267m2-id-2798195225/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 2.200.000,Rua Visconde de Baraúna,"Casa para comprar com 267 m², 3 quartos, 4 banheiros, 2 vagas emJardim Carvalho, Ponta Grossa",3.0,4.0,267.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-piscina-jardim-carvalho-ponta-grossa-267m2-id-2801510332/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 3.800.000,Rua Joaquim de Paula Xavier,"Casa de condomínio para comprar com 400 m², 4 quartos, 3 banheiros, 6 vagas emEstrela, Ponta Grossa",4.0,3.0,400.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-piscina-estrela-ponta-grossa-400m2-id-2813157819/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 1.300.000,Rua Amazonas,"Apartamento para comprar com 220 m², 3 quartos, 2 banheiros, 2 vagas emEstrela, Ponta Grossa",3.0,2.0,220.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-estrela-ponta-grossa-220m2-id-2800279735/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 1.300.000,Rua Francisco Otaviano,"Sala/Conjunto para comprar com 363 m², 6 quartos, 3 vagas emNova Rússia, Ponta Grossa",6.0,,363.0,https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-6-quartos-nova-russia-ponta-grossa-363m2-id-2825648210/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 2.608.000,Rua Joaquim de Paula Xavier,"Casa de condomínio para comprar com 334 m², 4 quartos, 6 banheiros, 2 vagas emEstrela, Ponta Grossa",4.0,6.0,334.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-estrela-ponta-grossa-334m2-id-2825649637/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 520.000,Rua Comandante Paulo Pinheiro Schmidt,"Sobrado para comprar com 195 m², 1 quarto, 1 banheiro emUvaranas, Ponta Grossa",1.0,1.0,195.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-1-quarto-uvaranas-ponta-grossa-195m2-id-2686098233/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 680.000,Rua Venezuela,"Casa para comprar com 70 m², 3 quartos, 1 banheiro, 5 vagas emOficinas, Ponta Grossa",3.0,1.0,70.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-lavanderia-coletiva-oficinas-ponta-grossa-70m2-id-2825744721/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 950.000,Rua Roberto César Antunes Ribas,"Galpão/Depósito/Armazém para comprar com 290 m², 2 banheiros, 4 vagas emContorno, Ponta Grossa",,2.0,290.0,https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-contorno-ponta-grossa-290m2-id-2839134074/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
R$ 350.000,Rua Doutor Leopoldo Guimarães da Cunha,"Lote/Terreno para comprar com 10 m² emOficinas, Ponta Grossa",,,10.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-oficinas-ponta-grossa-10m2-id-2672910027/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 09:13:52
