preco,condominio,iptu,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 14.000,R$ 2.400,R$ 835,,"Apartamento para alugar com 190 m², 3 quartos, 3 banheiros, 2 vagas emItaim Bibi, São Paulo",3.0,3,190.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-academia-itaim-bibi-zona-sul-sao-paulo-sp-190m2-id-2874420985/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 21.000,R$ 3.800,R$ 2.200,Avenida Roque Petroni Júnior,"Apartamento para alugar com 197 m², 3 quartos, 5 banheiros, 3 vagas emJardim das Acácias, São Paulo",3.0,5,197.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-brooklin-zona-sul-sao-paulo-sp-197m2-id-2854535021/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 7.500,,,,"Sobrado para alugar com 400 m², 5 quartos, 6 banheiros, 1 vaga emVila Cavaton, São Paulo",5.0,6,400.0,https://www.zapimoveis.com.br/imovel/aluguel-sobrados-5-quartos-mobiliado-freguesia-do-o-zona-norte-sao-paulo-sp-400m2-id-2856129830/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 1.400,,R$ 100,Avenida Imirim,"Apartamento para alugar com 45 m², 2 quartos, 2 banheiros emImirim, São Paulo",2.0,2,45.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-imirim-sao-paulo-45m2-id-2874853129/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 4.500,R$ 1.050,R$ 350,Alameda dos Aicás,"Apartamento para alugar com 62 m², 2 quartos, 1 banheiro, 1 vaga emIndianópolis, São Paulo",2.0,1,62.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-indianopolis-sao-paulo-62m2-id-2872606316/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 2.250,R$ 267,,Rua Doutor Bento Teobaldo Ferraz,"Apartamento para alugar com 30 m², 1 quarto, 1 banheiro emVárzea da Barra Funda, São Paulo",1.0,1,30.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-churrasqueira-varzea-da-barra-funda-sao-paulo-30m2-id-2874703721/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 1.800,R$ 365,,Rua Intendência,"Apartamento para alugar com 43 m², 2 quartos, 1 banheiro emBrás, São Paulo",2.0,1,43.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-bras-sao-paulo-43m2-id-2874827874/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 3.891,R$ 663,R$ 96,Praça Júlio Mesquita,"Apartamento para alugar com 48 m², 1 quarto, 1 banheiro, 1 vaga emSanta Efigênia, São Paulo",1.0,1,48.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-santa-efigenia-sao-paulo-48m2-id-2874635425/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 2.800,R$ 1.100,R$ 70,,"Apartamento para alugar com 50 m², 2 quartos, 2 banheiros, 1 vaga emVila Maria, São Paulo",2.0,2,50.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-vila-maria-sao-paulo-50m2-id-2874646781/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 3.300,R$ 878,R$ 228,Rua Aroaba,"Apartamento para alugar com 72 m², 2 quartos, 2 banheiros, 1 vaga emVila Leopoldina, São Paulo",2.0,2,72.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-cozinha-vila-leopoldina-sao-paulo-72m2-id-2874649977/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 1.300,,R$ 104,,"Apartamento para alugar com 45 m², 1 quarto, 1 banheiro emVila Ema, São Paulo",1.0,1,45.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-vila-ema-sao-paulo-45m2-id-2874701468/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 4.800,R$ 827,R$ 322,,"Apartamento para alugar com 84 m², 3 quartos, 2 banheiros, 2 vagas emParque Reboucas, São Paulo",3.0,2,84.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-parque-reboucas-sao-paulo-84m2-id-2874676732/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 4.100,,R$ 845,Rua Caminha de Amorim,"Sobrado para alugar com 150 m², 3 quartos, 4 banheiros, 2 vagas emVila Madalena, São Paulo",3.0,4,150.0,https://www.zapimoveis.com.br/imovel/aluguel-sobrados-3-quartos-com-cozinha-grande-vila-madalena-sao-paulo-150m2-id-2874822976/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 1.800,R$ 511,,Rua Doutor Ruy de Azevedo Sodré,"Apartamento para alugar com 52 m², 2 quartos, 1 banheiro, 1 vaga emVila Santa Catarina, São Paulo",2.0,1,52.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-vila-santa-catarina-sao-paulo-52m2-id-2802186538/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 2.100,,R$ 113,Rua Doutor Zuquim,"Apartamento para alugar com 38 m², 1 quarto, 1 banheiro emSantana, São Paulo",1.0,1,38.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-jardim-santana-sao-paulo-38m2-id-2874687579/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 1.500,R$ 700,,Rua Ester Samara,"Apartamento para alugar com 50 m², 2 quartos, 1 banheiro, 1 vaga emJardim Cláudia, São Paulo",2.0,1,50.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-jardim-claudia-sao-paulo-50m2-id-2874809179/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 4.200,,R$ 180,Rua Casimiro de Abreu,"Casa para alugar com 124 m², 2 quartos, 2 banheiros, 1 vaga emVila Congonhas, São Paulo",2.0,2,124.0,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-com-armario-de-cozinha-vila-congonhas-sao-paulo-124m2-id-2874735735/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 3.250,R$ 800,R$ 50,Avenida Miruna,"Flat para alugar com 37 m², 1 quarto, 1 banheiro, 1 vaga emIndianópolis, São Paulo",1.0,1,37.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-indianopolis-sao-paulo-37m2-id-2853404235/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 3.350,R$ 977,R$ 173,Avenida Rouxinol,"Apartamento para alugar com 40 m², 1 quarto, 1 banheiro, 1 vaga emIndianópolis, São Paulo",1.0,1,40.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-indianopolis-sao-paulo-40m2-id-2873972128/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 8.000,R$ 1.590,R$ 595,Rua Estado de Israel,"Apartamento para alugar com 95 m², 2 quartos, 3 banheiros, 2 vagas emVila Clementino, São Paulo",2.0,3,95.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-vila-clementino-sao-paulo-95m2-id-2874643477/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 2.300,R$ 450,,Rua Guaicurus,"Apartamento para alugar com 31 m², 1 quarto, 1 banheiro emÁgua Branca, São Paulo",1.0,1,31.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-agua-branca-sao-paulo-31m2-id-2874619584/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 4.000,R$ 1.400,R$ 200,Avenida Ibijaú,"Flat para alugar com 40 m², 1 quarto, 1 banheiro, 1 vaga emMoema, São Paulo",1.0,1,40.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-moema-sao-paulo-40m2-id-2776424320/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 3.750,R$ 952,R$ 75,Rua Monte Caseros,"Apartamento para alugar com 68 m², 3 quartos, 2 banheiros, 2 vagas emVila Gomes, São Paulo",3.0,2,68.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-vila-gomes-sao-paulo-68m2-id-2874626082/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 3.000,R$ 800,R$ 15,Rua Orfanato,"Apartamento para alugar com 65 m², 2 quartos, 1 banheiro, 1 vaga emVila Prudente, São Paulo",2.0,1,65.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-vila-prudente-sao-paulo-65m2-id-2858085955/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 7.827,R$ 1.018,R$ 55,Rua Joaquim Floriano,"Flat para alugar com 81 m², 2 quartos, 2 banheiros, 1 vaga emItaim Bibi, São Paulo",2.0,2,81.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-2-quartos-itaim-bibi-sao-paulo-81m2-id-2773058637/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 3.200,R$ 750,R$ 250,Rua Guararapes,"Flat para alugar com 35 m², 1 quarto, 1 banheiro, 1 vaga emBrooklin Paulista, São Paulo",1.0,1,35.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-brooklin-paulista-sao-paulo-35m2-id-2854300439/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 1.400,,R$ 35,Rua Miguel Soares Ferreira Júnior,"Casa para alugar com 60 m², 1 quarto, 1 banheiro emVila Leonor, São Paulo",1.0,1,60.0,https://www.zapimoveis.com.br/imovel/aluguel-casa-1-quarto-com-cozinha-vila-leonor-sao-paulo-60m2-id-2874653687/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 2.304,R$ 454,R$ 35,Rua José Alves Cunha Lima,"Apartamento para alugar com 26 m², 1 quarto, 1 banheiro emVila Butantã, São Paulo",1.0,1,26.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-churrasqueira-vila-butanta-sao-paulo-26m2-id-2873979673/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 4.700,R$ 1.500,R$ 300,Rua Diogo Jácome,"Flat para alugar com 50 m², 1 quarto, 1 banheiro, 1 vaga emVila Nova Conceição, São Paulo",1.0,1,50.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-nova-conceicao-sao-paulo-50m2-id-2853842253/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 4.200,R$ 1.500,R$ 300,Rua Brás Cardoso,"Flat para alugar com 42 m², 1 quarto, 1 banheiro, 1 vaga emVila Nova Conceição, São Paulo",1.0,1,42.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-nova-conceicao-sao-paulo-42m2-id-2853840783/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 15:58:49
R$ 35.000,,R$ 3.510,Rua do Gama,"Sobrado para alugar com 583 m², 4 quartos, 6 banheiros, 8 vagas emJardim Luzitânia, São Paulo",4.0,6,583.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-com-churrasqueira-jardim-luzitania-zona-sul-sao-paulo-sp-583m2-id-2746255331/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 4.800,R$ 1.147,R$ 313,Rua França Pinto,"Apartamento para alugar com 70 m², 2 quartos, 1 banheiro, 2 vagas emVila Mariana, São Paulo",2.0,1,70.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-cozinha-americana-vila-mariana-zona-sul-sao-paulo-sp-70m2-id-2867915067/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 14.000,R$ 1.200,R$ 450,Rua Chilon,"Apartamento para alugar com 58 m², 1 quarto, 2 banheiros, 1 vaga emVila Olímpia, São Paulo",1.0,2,58.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-vila-olimpia-zona-sul-sao-paulo-sp-58m2-id-2873587158/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 4.800,R$ 1.800,R$ 500,Alameda Campinas,"Flat para alugar com 65 m², 1 quarto, 1 banheiro, 2 vagas emJardim Paulista, São Paulo",1.0,1,65.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-jardim-paulista-sao-paulo-65m2-id-2853405351/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 3.450,R$ 1.400,R$ 150,Avenida Moema,"Flat para alugar com 55 m², 1 quarto, 1 banheiro, 1 vaga emMoema, São Paulo",1.0,1,55.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-moema-sao-paulo-55m2-id-2777212233/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 4.272,R$ 1.978,R$ 250,Rua Tuim,"Flat para alugar com 45 m², 1 quarto, 1 banheiro, 1 vaga emVila Uberabinha, São Paulo",1.0,1,45.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-uberabinha-sao-paulo-45m2-id-2852954440/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 4.100,R$ 900,R$ 200,Rua Carlos Sampaio,"Flat para alugar com 55 m², 1 quarto, 1 banheiro, 1 vaga emBela Vista, São Paulo",1.0,1,55.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-bela-vista-sao-paulo-55m2-id-2853842359/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 4.055,R$ 1.660,R$ 285,Rua Itapeva,"Flat para alugar com 47 m², 1 quarto, 1 banheiro, 1 vaga emBela Vista, São Paulo",1.0,1,47.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-bela-vista-sao-paulo-47m2-id-2853400793/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 5.500,R$ 1.400,R$ 240,Rua Jericó,"Apartamento para alugar com 58 m², 1 quarto, 3 banheiros, 1 vaga emSumarezinho, São Paulo",1.0,3,58.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-cozinha-sumarezinho-sao-paulo-58m2-id-2847407279/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 4.700,R$ 1.150,R$ 150,Rua Ribeiro do Vale,"Flat para alugar com 40 m², 1 quarto, 1 banheiro, 1 vaga emBrooklin Paulista, São Paulo",1.0,1,40.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-brooklin-paulista-sao-paulo-40m2-id-2853400386/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 6.900,R$ 1.300,R$ 300,Rua Cincinato Braga,"Flat para alugar com 78 m², 2 quartos, 2 banheiros, 1 vaga emBela Vista, São Paulo",2.0,2,78.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-2-quartos-mobiliado-bela-vista-sao-paulo-78m2-id-2853837090/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 4.600,R$ 600,R$ 300,Rua Eugênio de Medeiros,"Flat para alugar com 35 m², 1 quarto, 1 banheiro, 1 vaga emPinheiros, São Paulo",1.0,1,35.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-pinheiros-sao-paulo-35m2-id-2853399290/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 4.380,R$ 870,R$ 150,Rua Doutor Fadlo Haidar,"Flat para alugar com 44 m², 1 quarto, 1 banheiro, 1 vaga emVila Olímpia, São Paulo",1.0,1,44.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-olimpia-sao-paulo-44m2-id-2853475738/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 1.460,R$ 340,R$ 200,Avenida Engenheiro Armando de Arruda Pereira,"Apartamento para alugar com 44 m², 1 quarto, 1 banheiro, 1 vaga emVila do Encontro, São Paulo",1.0,1,44.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-vila-do-encontro-sao-paulo-44m2-id-2832015774/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 3.720,R$ 1.500,R$ 280,Rua Urussuí,"Flat para alugar com 40 m², 1 quarto, 1 banheiro, 1 vaga emItaim Bibi, São Paulo",1.0,1,40.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-sao-paulo-40m2-id-2858329879/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 3.690,R$ 1.680,R$ 339,Rua Brás Cardoso,"Flat para alugar com 40 m², 1 quarto, 1 banheiro, 1 vaga emVila Nova Conceição, São Paulo",1.0,1,40.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-nova-conceicao-sao-paulo-40m2-id-2674299478/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 3.800,R$ 600,R$ 200,Avenida Aratãs,"Flat para alugar com 35 m², 1 quarto, 1 banheiro, 1 vaga emIndianópolis, São Paulo",1.0,1,35.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-indianopolis-sao-paulo-35m2-id-2853475622/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 4.100,R$ 800,R$ 200,Rua Juquis,"Flat para alugar com 45 m², 1 quarto, 1 banheiro, 1 vaga emIndianópolis, São Paulo",1.0,1,45.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-indianopolis-sao-paulo-45m2-id-2853469272/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 3.900,R$ 580,R$ 100,Rua Doutor Penaforte Mendes,"Apartamento para alugar com 34 m², 1 quarto, 1 banheiro emBela Vista, São Paulo",1.0,1,34.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-academia-bela-vista-sao-paulo-34m2-id-2812897516/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 3.730,R$ 1.420,R$ 250,Rua Leopoldo Couto Magalhães Júnior,"Flat para alugar com 45 m², 1 quarto, 1 banheiro, 1 vaga emItaim Bibi, São Paulo",1.0,1,45.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-sao-paulo-45m2-id-2853404839/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 2.700,R$ 1.000,R$ 100,Avenida Miruna,"Flat para alugar com 33 m², 1 quarto, 1 banheiro, 1 vaga emIndianópolis, São Paulo",1.0,1,33.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-indianopolis-sao-paulo-33m2-id-2853837757/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 5.360,R$ 720,R$ 220,Rua Sansão Alves dos Santos,"Flat para alugar com 45 m², 1 quarto, 1 banheiro, 1 vaga emCidade Monções, São Paulo",1.0,1,45.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-cidade-moncoes-sao-paulo-45m2-id-2853396688/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 3.905,R$ 920,R$ 175,Rua Doutor Fadlo Haidar,"Flat para alugar com 43 m², 1 quarto, 1 banheiro, 1 vaga emVila Olímpia, São Paulo",1.0,1,43.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-olimpia-sao-paulo-43m2-id-2853401921/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 4.230,R$ 1.520,R$ 550,Rua Alvorada,"Flat para alugar com 48 m², 2 quartos, 1 banheiro, 2 vagas emVila Olímpia, São Paulo",2.0,1,48.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-2-quartos-mobiliado-vila-olimpia-sao-paulo-48m2-id-2853402605/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 6.240,R$ 950,R$ 310,Rua Luís Correia de Melo,"Flat para alugar com 72 m², 1 quarto, 1 banheiro, 1 vaga emVila Cruzeiro, São Paulo",1.0,1,72.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-cruzeiro-sao-paulo-72m2-id-2853400470/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 3.900,R$ 900,R$ 300,Rua Luís Correia de Melo,"Flat para alugar com 58 m², 1 quarto, 1 banheiro, 1 vaga emVila Cruzeiro, São Paulo",1.0,1,58.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-cruzeiro-sao-paulo-58m2-id-2853401197/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 9.800,R$ 900,R$ 300,Rua Joaquim Guarani,"Apartamento para alugar com 70 m², 2 quartos, 2 banheiros, 1 vaga emJardim das Acácias, São Paulo",2.0,2,70.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jardim-das-acacias-sao-paulo-70m2-id-2806184446/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 3.350,R$ 700,R$ 150,Avenida Doutor Cardoso de Melo,"Flat para alugar com 35 m², 1 quarto, 1 banheiro, 1 vaga emVila Olímpia, São Paulo",1.0,1,35.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-olimpia-sao-paulo-35m2-id-2853397359/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 4.550,R$ 1.500,R$ 450,Rua Pamplona,"Flat para alugar com 51 m², 1 quarto, 1 banheiro, 1 vaga emJardim Paulista, São Paulo",1.0,1,51.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-jardim-paulista-sao-paulo-51m2-id-2853833901/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:02:44
R$ 28.000,R$ 3.000,R$ 14.000,Rua Flórida,"Apartamento para alugar com 220 m², 4 quartos, 3 banheiros, 3 vagas emCidade Monções, São Paulo",4.0,3,220.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-brooklin-zona-sul-sao-paulo-sp-220m2-id-2763319480/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:40:01
R$ 9.200,R$ 1.900,R$ 600,Rua Aimberê,"Apartamento para alugar com 128 m², 3 quartos, 3 banheiros, 2 vagas emPerdizes, São Paulo",3.0,3,128.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-perdizes-zona-oeste-sao-paulo-sp-128m2-id-2868150767/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:40:01
R$ 19.000,R$ 3.500,R$ 600,Rua Barão do Triunfo,"Apartamento para alugar com 240 m², 5 quartos, 5 banheiros, 4 vagas emBrooklin Paulista, São Paulo",5.0,5,240.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-5-quartos-com-piscina-brooklin-zona-sul-sao-paulo-sp-240m2-id-2874653279/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:40:01
R$ 5.260,,,Rua Pamplona,"Flat para alugar com 31 m², 1 quarto, 1 banheiro, 1 vaga emJardim Paulista, São Paulo",1.0,1,31.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-jardim-paulista-sao-paulo-31m2-id-2836930671/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:40:01
R$ 28.000,,R$ 1.100,Rua Marieta,"Casa para alugar com 200 m², 3 quartos, 2 banheiros, 2 vagas emJardim América, São Paulo",3.0,2,200.0,https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-jardim-america-sao-paulo-200m2-id-2817279616/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:40:01
R$ 7.500,R$ 1.300,R$ 500,Rua Marcos Lopes,"Flat para alugar com 69 m², 1 quarto, 1 banheiro, 2 vagas emVila Nova Conceição, São Paulo",1.0,1,69.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-nova-conceicao-sao-paulo-69m2-id-2810066414/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:40:01
R$ 3.600,R$ 580,R$ 222,Rua Álvaro Rodrigues,"Flat para alugar com 32 m², 1 quarto, 1 banheiro emVila Cordeiro, São Paulo",1.0,1,32.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-cordeiro-sao-paulo-32m2-id-2866120362/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:40:01
R$ 2.800,R$ 1.200,R$ 100,Rua Bela Cintra,"Flat para alugar com 30 m², 1 quarto, 1 banheiro, 1 vaga emConsolação, São Paulo",1.0,1,30.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-consolacao-sao-paulo-30m2-id-2853401730/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:40:01
R$ 4.000,R$ 400,R$ 100,Rua Gabriel de Lara,"Apartamento para alugar com 33 m², 1 quarto, 1 banheiro, 1 vaga emVila Cordeiro, São Paulo",1.0,1,33.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-vila-cordeiro-sao-paulo-33m2-id-2821123315/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:40:01
R$ 5.000,R$ 1.535,R$ 625,Rua Alvorada,"Flat para alugar com 50 m², 2 quartos, 1 banheiro, 1 vaga emVila Olímpia, São Paulo",2.0,1,50.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-2-quartos-mobiliado-vila-olimpia-sao-paulo-50m2-id-2853833609/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:40:01
R$ 3.425,R$ 2.353,R$ 722,Rua Amauri,"Flat para alugar com 42 m², 1 quarto, 1 banheiro, 1 vaga emJardim Europa, São Paulo",1.0,1,42.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-jardim-europa-sao-paulo-42m2-id-2853837888/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:40:01
R$ 15.000,R$ 2.100,R$ 500,Alameda Casa Branca,"Apartamento para alugar com 95 m², 2 quartos, 3 banheiros, 1 vaga emJardim Paulista, São Paulo",2.0,3,95.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jardim-paulista-sao-paulo-95m2-id-2825551255/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:40:01
R$ 4.200,R$ 2.445,R$ 355,Rua Balthazar da Veiga,"Flat para alugar com 70 m², 2 quartos, 1 banheiro, 1 vaga emVila Nova Conceição, São Paulo",2.0,1,70.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-2-quartos-mobiliado-vila-nova-conceicao-sao-paulo-70m2-id-2853472488/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:40:01
