preco,condominio,iptu,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 3.400,R$ 2.200,R$ 500,Rua Franz Schubert,"Flat para alugar com 35 m², 1 quarto, 1 banheiro, 1 vaga emJardim Paulistano, São Paulo",1.0,1,35.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-jardim-paulistano-sao-paulo-35m2-id-2853400248/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:06:39
R$ 15.000,R$ 2.340,R$ 1.001,Avenida Portugal,"Apartamento para alugar com 138 m², 2 quartos, 4 banheiros, 2 vagas emBrooklin Paulista, São Paulo",2.0,4,138.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-brooklin-paulista-sao-paulo-138m2-id-2866510672/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:06:39
R$ 11.200,R$ 2.804,R$ 90,Alameda Lorena,"Apartamento para alugar com 145 m², 3 quartos, 3 banheiros, 1 vaga emJardim Paulista, São Paulo",3.0,3,145.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-jardim-paulista-sao-paulo-145m2-id-2827102157/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:06:39
R$ 6.100,R$ 1.500,R$ 500,Avenida Presidente Juscelino Kubitschek,"Flat para alugar com 45 m², 1 quarto, 1 banheiro, 1 vaga emVila Nova Conceição, São Paulo",1.0,1,45.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-nova-conceicao-sao-paulo-45m2-id-2853399779/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:06:39
R$ 3.000,R$ 767,R$ 80,Largo do Arouche,"Apartamento para alugar com 44 m², 1 quarto, 1 banheiro emRepública, São Paulo",1.0,1,44.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-mobiliado-republica-sao-paulo-44m2-id-2844193183/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:06:39
R$ 4.155,R$ 545,,Rua Capri,"Apartamento para alugar com 28 m², 1 quarto, 1 banheiro emPinheiros, São Paulo",1.0,1,28.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-pinheiros-sao-paulo-28m2-id-2868710190/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:06:39
R$ 24.500,R$ 5.000,R$ 500,Rua Diogo Jácome,"Flat para alugar com 150 m², 2 quartos, 2 banheiros, 2 vagas emVila Nova Conceição, São Paulo",2.0,2,150.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-2-quartos-mobiliado-vila-nova-conceicao-sao-paulo-150m2-id-2826968129/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:06:39
R$ 4.200,R$ 500,R$ 89,Rua Quatá,"Imóvel para alugar com 25 m², 1 quarto, 1 banheiro emVila Olímpia, São Paulo",1.0,1,25.0,https://www.zapimoveis.com.br/imovel/aluguel-studio-1-quarto-com-piscina-vila-olimpia-sao-paulo-25m2-id-2859177931/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:06:39
R$ 3.500,R$ 700,,Rua Antônio Comparato,"Apartamento para alugar com 32 m², 1 quarto, 1 banheiro emCampo Belo, São Paulo",1.0,1,32.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-campo-belo-sao-paulo-32m2-id-2803780653/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:06:39
R$ 4.350,R$ 1.600,R$ 400,Rua Pais de Araújo,"Flat para alugar com 37 m², 1 quarto, 1 banheiro emItaim Bibi, São Paulo",1.0,1,37.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-sao-paulo-37m2-id-2855611916/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:06:39
R$ 3.330,R$ 1.850,R$ 350,Rua Jerônimo da Veiga,"Flat para alugar com 33 m², 1 quarto, 1 banheiro, 1 vaga emJardim Europa, São Paulo",1.0,1,33.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-jardim-europa-sao-paulo-33m2-id-2853825503/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:06:39
R$ 3.165,R$ 735,R$ 100,Avenida das Carinás,"Flat para alugar com 28 m², 1 quarto, 1 banheiro emIndianópolis, São Paulo",1.0,1,28.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-indianopolis-sao-paulo-28m2-id-2853833892/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:06:39
R$ 4.300,R$ 1.800,R$ 358,Rua Doutor Amâncio de Carvalho,"Apartamento para alugar com 40 m², 1 quarto, 1 banheiro emVila Mariana, São Paulo",1.0,1,40.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-vila-mariana-sao-paulo-40m2-id-2768583621/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:06:39
R$ 13.000,R$ 2.424,R$ 783,Alameda Tietê,"Apartamento para alugar com 130 m², 2 quartos, 2 banheiros, 2 vagas emCerqueira César, São Paulo",2.0,2,130.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-cerqueira-cesar-sao-paulo-130m2-id-2848249659/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:06:39
R$ 3.780,R$ 600,R$ 120,Rua Turiassu,"Flat para alugar com 24 m², 1 quarto, 1 banheiro, 1 vaga emPerdizes, São Paulo",1.0,1,24.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-perdizes-sao-paulo-24m2-id-2853399803/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:06:39
R$ 2.350,,,Rua Brás Lourenço,"Apartamento para alugar com 30 m², 2 quartos, 1 banheiro emVila Mariana, São Paulo",2.0,1,30.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-vila-mariana-zona-sul-sao-paulo-sp-30m2-id-2865708173/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:07:03
R$ 23.000,R$ 6.000,R$ 1.870,Alameda Tietê,"Apartamento para alugar com 204 m², 2 quartos, 6 banheiros, 3 vagas emCerqueira César, São Paulo",2.0,6,204.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-zelador-cerqueira-cesar-centro-sao-paulo-sp-204m2-id-2833896430/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:07:03
R$ 5.600,R$ 590,R$ 180,Rua Mourato Coelho,"Apartamento para alugar com 50 m², 1 quarto, 1 banheiro, 1 vaga emPinheiros, São Paulo",1.0,1,50.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-pinheiros-zona-oeste-sao-paulo-sp-50m2-id-2841079751/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:07:03
R$ 2.000,R$ 165,R$ 40,Rua Tirana,"Apartamento para alugar com 40 m², 2 quartos, 1 banheiro emVila Formosa, São Paulo",2.0,1,40.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-vila-formosa-sao-paulo-40m2-id-2850550906/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:07:03
R$ 4.500,R$ 1.500,R$ 300,Rua Melo Alves,"Apartamento para alugar com 38 m², 1 quarto, 1 banheiro emCerqueira César, São Paulo",1.0,1,38.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-cerqueira-cesar-sao-paulo-38m2-id-2779212845/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:07:03
R$ 14.000,R$ 2.500,R$ 800,Rua Helena,"Apartamento para alugar com 127 m², 3 quartos, 5 banheiros, 3 vagas emVila Olímpia, São Paulo",3.0,5,127.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-vila-olimpia-sao-paulo-127m2-id-2858278331/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:07:03
R$ 2.520,R$ 1.665,R$ 315,Rua Luís Coelho,"Flat para alugar com 40 m², 1 quarto, 1 banheiro, 1 vaga emConsolação, São Paulo",1.0,1,40.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-consolacao-sao-paulo-40m2-id-2853840799/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:07:03
R$ 16.450,R$ 3.650,R$ 900,Avenida Jandira,"Flat para alugar com 125 m², 3 quartos, 3 banheiros, 2 vagas emIndianópolis, São Paulo",3.0,3,125.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-3-quartos-mobiliado-indianopolis-sao-paulo-125m2-id-2853837943/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:07:03
R$ 4.000,R$ 700,R$ 300,Avenida Nove de Julho,"Apartamento para alugar com 37 m², 1 quarto, 1 banheiro emJardim Paulista, São Paulo",1.0,1,37.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-jardim-paulista-sao-paulo-37m2-id-2809142128/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:07:03
R$ 4.350,R$ 730,R$ 160,Avenida Portugal,"Apartamento para alugar com 33 m², 1 quarto, 1 banheiro, 1 vaga emBrooklin Paulista, São Paulo",1.0,1,33.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-brooklin-paulista-sao-paulo-33m2-id-2663019259/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:07:03
