endereco_geo,lat,lon
"Rua Azaléia, Contorno, Ponta Grossa, PR, Brasil",-25.0963173,-50.2057318
"Rua Antônio Moro, Estrela, Ponta Grossa, PR, Brasil",-25.1145413,-50.1686071
"Rua Machado de Assis, Uvaranas, Ponta Grossa, PR, Brasil",-25.0916005,-50.1433596
"Rua Francisco Beltrão, Chapada, Ponta Grossa, PR, Brasil",-25.0768099,-50.2038175
"Rua Alfredo Eugênio Baptista Rosas, Orfãs, Ponta Grossa, PR, Brasil",,
"Rua Engenheiro Grevile, Colônia Dona Luíza, Ponta Grossa, PR, Brasil",-25.1226478,-50.1677573
"Rua Visconde do Rio Branco, Olarias, Ponta Grossa, PR, Brasil",,
"Rua Pedro Mascarenhas Ribas, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0699144,-50.1523611
"Rua Família Zuk, Uvaranas, Ponta Grossa, PR, Brasil",,
"Rua Octávio de Carvalho, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0770112,-50.1510975
"Rua Pereira Passos, Uvaranas, Ponta Grossa, PR, Brasil",-25.0823433,-50.1296526
"Rua Ódino Moro, Estrela, Ponta Grossa, PR, Brasil",-25.1170035,-50.1702382
"Rua Colombo, Estrela, Ponta Grossa, PR, Brasil",-25.1118225,-50.1666933
"Rua Saldanha Marinho, Centro, Ponta Grossa, PR, Brasil",-25.0942665,-50.1614549
"Rua Alfredo Guimarães Vilela, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.076236,-50.1514629
"Rua Hermínio Baggio, Estrela, Ponta Grossa, PR, Brasil",-25.1158883,-50.1696066
"Rua Santos Dumont, Centro, Ponta Grossa, PR, Brasil",-25.0937452,-50.1576464
"Avenida Anita Garibaldi, Orfãs, Ponta Grossa, PR, Brasil",-25.0758134,-50.1648205
"Rua Marquês do Paraná, Ronda, Ponta Grossa, PR, Brasil",-25.0985939,-50.1761252
"Rua José Bonifácio, Orfãs, Ponta Grossa, PR, Brasil",-25.083548,-50.1642213
"Rua Francisco Camerino, Orfãs, Ponta Grossa, PR, Brasil",-25.0773886,-50.1620091
"Rua Frei Caneca, Centro, Ponta Grossa, PR, Brasil",-25.0989816,-50.1585152
"Rua Padre João Lux, Centro, Ponta Grossa, PR, Brasil",-25.0975995,-50.1553781
"Rua Comendador Miró, Centro, Ponta Grossa, PR, Brasil",-25.0925051,-50.1607573
"Rua Nestor Guimarães, Estrela, Ponta Grossa, PR, Brasil",-25.1031676,-50.1590519
