geometry,leisure,name,addr:street,tourism,landuse,addr:city,addr:suburb,start_date,description,addr:housenumber,addr:postcode,opening_hours,operator,source,alt_name,grass,natural,surface,type
POINT (-50.1548495 -25.054726),garden,Jardim de Entrada,,,,,,,,,,,,,,,,,
POINT (-50.2056677 -25.092583),park,Pracinha da Associação,Rua Eugênia,,,,,,,,,,,,,,,,
"POLYGON ((-50.103165 -25.0938497, -50.1031614 -25.0938034, -50.1031486 -25.0937623, -50.1031252 -25.0937279, -50.1031001 -25.0937117, -50.103077 -25.0937037, -50.1030507 -25.0937053, -50.1030265 -25.0937192, -50.1030181 -25.0937437, -50.1030131 -25.0937725, -50.1030179 -25.0938089, -50.1030303 -25.0938439, -50.1030448 -25.0938734, -50.10307 -25.0938945, -50.1030973 -25.0939084, -50.1031315 -25.0939042, -50.1031583 -25.09388, -50.103165 -25.0938497))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.10865 -25.096012, -50.1086407 -25.0960415, -50.108625 -25.0960616, -50.1085973 -25.0960791, -50.1085721 -25.0960855, -50.1085396 -25.0960839, -50.1085189 -25.0960768, -50.1084943 -25.0960597, -50.1084837 -25.0960468, -50.1084728 -25.0960218, -50.1084712 -25.095998, -50.1084783 -25.0959727, -50.1084876 -25.0959577, -50.1085079 -25.0959392, -50.1085374 -25.0959265, -50.1085671 -25.0959239, -50.1085863 -25.0959271, -50.1086142 -25.0959398, -50.1086322 -25.095956, -50.1086468 -25.0959825, -50.10865 -25.096012))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1029531 -25.0910577, -50.1029259 -25.0911067, -50.1028831 -25.0911456, -50.102829 -25.0911702, -50.1027691 -25.0911784, -50.1027094 -25.0911691, -50.102656 -25.0911433, -50.1026162 -25.0910999, -50.1025888 -25.0910558, -50.1025806 -25.0910034, -50.1025903 -25.0909511, -50.1026172 -25.0909039, -50.1026585 -25.0908665, -50.1027105 -25.090842, -50.1027681 -25.090833, -50.1028262 -25.0908404, -50.102879 -25.0908632, -50.1029229 -25.090901, -50.1029515 -25.0909494, -50.1029619 -25.0910034, -50.1029531 -25.0910577))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1042239 -25.0903236, -50.1042019 -25.0903514, -50.1041793 -25.0903662, -50.1041433 -25.0903768, -50.1041014 -25.090374, -50.1040674 -25.0903588, -50.1040511 -25.0903451, -50.104032 -25.0903156, -50.1040271 -25.0902985, -50.1040282 -25.090263, -50.1040379 -25.0902392, -50.1040607 -25.0902129, -50.104081 -25.0902001, -50.1041125 -25.0901904, -50.1041459 -25.0901903, -50.1041597 -25.0901931, -50.1041872 -25.0902047, -50.1042153 -25.0902297, -50.1042297 -25.090257, -50.1042338 -25.0902874, -50.1042239 -25.0903236))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1800278 -25.1445638, -50.1812842 -25.146002, -50.1795208 -25.1472454, -50.178539 -25.1461367, -50.178309 -25.1458805, -50.1800278 -25.1445638))",park,A.C.E.N.B.P.G.,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1812037 -25.1460138, -50.1806132 -25.1453723, -50.1802226 -25.1456191, -50.1802505 -25.1457118, -50.1803179 -25.1459357, -50.1805587 -25.1457918, -50.1809493 -25.146207, -50.1812037 -25.1460138))",park,Campo de Park Golf,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1528658 -25.1451097, -50.1521279 -25.1446108, -50.1517076 -25.1444586, -50.1510912 -25.1445178, -50.1509604 -25.1442811, -50.1506429 -25.1443995, -50.1504467 -25.1446785, -50.1510258 -25.1451689, -50.1514461 -25.1448814, -50.1517823 -25.1446447, -50.1520999 -25.1447715, -50.1525669 -25.1453295, -50.1528658 -25.1451097))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1504641 -25.1444628, -50.1502176 -25.1448756, -50.1498479 -25.1446637, -50.1496014 -25.1447975, -50.1493303 -25.1444628, -50.1490961 -25.1443736, -50.1491292 -25.1441567, -50.1488297 -25.14401, -50.1485785 -25.1438269, -50.1496137 -25.1438269, -50.1504641 -25.1444628))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1527414 -25.1428585, -50.1524975 -25.1427407, -50.1523267 -25.1427555, -50.1521966 -25.1428143, -50.1525869 -25.1430572, -50.1527414 -25.1428585))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1727062 -25.0846882, -50.1726709 -25.0846082, -50.1727725 -25.0845481, -50.1727349 -25.0844681, -50.1728145 -25.0843981, -50.1727438 -25.0842701, -50.1729068 -25.0839889, -50.1729205 -25.0838839, -50.1729139 -25.0837779, -50.1731597 -25.0836497, -50.1731393 -25.0835342, -50.173225 -25.0834664, -50.173243 -25.0832277, -50.1732922 -25.0831503, -50.1733163 -25.0830459, -50.1735959 -25.0825807, -50.1737128 -25.0822135, -50.173619 -25.0820426, -50.1735585 -25.082072, -50.1734627 -25.082515, -50.1731516 -25.0827245, -50.1730327 -25.082754, -50.1729301 -25.0828418, -50.1730481 -25.0830459, -50.1729701 -25.0832876, -50.1729453 -25.0833655, -50.1727722 -25.0833926, -50.1727361 -25.0834578, -50.1725143 -25.0834661, -50.1723668 -25.0836702, -50.172525 -25.0838573, -50.1725465 -25.0839253, -50.1725546 -25.0840953, -50.1725465 -25.0841779, -50.172517 -25.0842435, -50.1724508 -25.0843689, -50.1722977 -25.0845821, -50.1723728 -25.0848379, -50.1726245 -25.0847362, -50.1727062 -25.0846882))",park,Parque Linear do Arroio Madureira,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1662698 -25.1074258, -50.1664596 -25.1077914, -50.1664127 -25.1078454, -50.1659386 -25.1077167, -50.1662698 -25.1074258))",park,Praça Guarani,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1544642 -25.0872777, -50.1544376 -25.0872757, -50.1543243 -25.0873557, -50.1543025 -25.0874825, -50.1543459 -25.0875552, -50.1543779 -25.0874591, -50.1544642 -25.0872777))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1602 -25.0862709, -50.1602483 -25.0862387, -50.1605125 -25.0862788, -50.1604213 -25.0868205, -50.16016 -25.0867686, -50.1601343 -25.0867449, -50.1602 -25.0862709))",park,Praça Santos Andrade,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1145931 -25.0967837, -50.1145676 -25.0966319, -50.1145579 -25.0966192, -50.1145449 -25.0966093, -50.1145294 -25.0966028, -50.1145126 -25.0966003, -50.1144026 -25.0966064, -50.1143631 -25.0966061, -50.1143302 -25.0966209, -50.1140285 -25.0968335, -50.1140218 -25.096841, -50.1140182 -25.0968501, -50.114018 -25.0968597, -50.1140213 -25.0968689, -50.1140277 -25.0968766, -50.1140365 -25.0968821, -50.1145931 -25.0967837))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1142295 -25.0980433, -50.1140278 -25.0980914, -50.1139594 -25.0978789, -50.1138632 -25.0975834, -50.1141287 -25.0975417, -50.1142508 -25.0980385, -50.1142295 -25.0980433))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1536814 -25.0939584, -50.1534478 -25.0939872, -50.1531363 -25.0939488, -50.1524179 -25.0936026, -50.1520817 -25.0932693, -50.1519401 -25.0930001, -50.152025 -25.0928142, -50.1522232 -25.0927757, -50.1523436 -25.0928013, -50.1523648 -25.0928462, -50.1536814 -25.0939584))",park,,,,,,,,,,,,,,,,,,
