geometry,name,public_transport,railway,ref,station,subway,old_name,operator,wikidata,wikimedia_commons,wikipedia,start_date,website,wheelchair,network,operator:short,train,network:short,network:wikidata,name:ja,name:pt,toilets:wheelchair,addr:city,addr:street,addr:suburb,operator:wikidata,internet_access,gtfs_id,construction,name:etymology:wikidata,short_name,alt_name,bicycle,addr:housenumber,addr:postcode,official_name,monorail,fixme,platforms,source:alt_name,building,planned,addr:country,bench,layer,lit,opening_hours,shelter,source,surface,toilets,wheelchair:description,height,addr:state,contact:facebook,contact:flickr,contact:instagram,contact:phone,contact:twitter,contact:website,contact:youtube,min_height,wheelchair:description:pt,check_date,construction:railway,opening_date,type,highway,waterway,access,entrance,description,is_in,level,departures_board,elevator
POINT (-46.6252025 -23.5091285),Carandiru,station,station,,subway,yes,,Metropolitano de São Paulo,,,,,,,Linha 1,,,,,,,,São Paulo,Avenida Cruzeiro do Sul,Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6250887 -23.5024374),Santana,station,station,,subway,yes,,Metropolitano de São Paulo,,,,,,,Linha 1,,,,,,,,São Paulo,Avenida Cruzeiro do Sul,Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6089306 -23.4870228),Parada Inglesa,station,station,,subway,yes,,Metropolitano de São Paulo,,,,,,,Linha 1,,,,,,,,São Paulo,Avenida Luiz Dumont Villares,Parada Inglesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6248303 -23.502371, -46.6248195 -23.502066, -46.6248125 -23.5018708, -46.6246303 -23.5018699, -46.6246389 -23.5023721, -46.6244141 -23.5023807, -46.6241153 -23.5025253, -46.6241196 -23.5027351, -46.6244324 -23.5027838, -46.6246471 -23.5027784, -46.6246603 -23.5032005, -46.6248564 -23.5031967, -46.6248467 -23.5027754, -46.6250913 -23.5027649, -46.6254204 -23.5027244, -46.6253597 -23.502489, -46.6250586 -23.5023627, -46.6248303 -23.502371), (-46.6244254 -23.502708, -46.6242413 -23.5026765, -46.6244085 -23.5026725, -46.6244047 -23.5025592, -46.6242316 -23.5025647, -46.6244244 -23.502472, -46.6244689 -23.5024708, -46.6244742 -23.5026104, -46.6244779 -23.5027066, -46.6244254 -23.502708))",Santana,station,station,SAN,subway,yes,,ViaMobilidade Linhas 5 e 17,Q7420037,,,1975,,limited,Metrô,,,,,,,,São Paulo,Avenida Cruzeiro do Sul,,,,,,,,,,3173,02031-200,,,,,,transportation,,BR,yes,3,yes,"Mo-Fr 00:00-00:26,04:40-24:00; Sa 04:40-24:00; Su 00:00-01:00,04:00-24:00",yes,,concrete,yes,"Elevador de acesso para pessoas portadoras de deficiência,idosos,gestantes",,,,,,,,,,,,,,,multipolygon,,,,,,,,,
"POLYGON ((-46.6687386 -23.6101998, -46.669081 -23.6099296, -46.6684304 -23.6092596, -46.668079 -23.6095471, -46.6680719 -23.6095618, -46.6680732 -23.6095764, -46.6684975 -23.6100063, -46.6686899 -23.6102012, -46.6687099 -23.6102089, -46.6687386 -23.6101998), (-46.6683737 -23.6097528, -46.6683294 -23.6097242, -46.6682965 -23.6096992, -46.6682673 -23.60967, -46.6682499 -23.6096346, -46.6682377 -23.6096015, -46.6682352 -23.6095795, -46.6682357 -23.6095641, -46.6682401 -23.609553, -46.6682468 -23.6095429, -46.6682571 -23.6095319, -46.66827 -23.6095264, -46.668297 -23.6095205, -46.6683333 -23.6095191, -46.6683784 -23.6095292, -46.6684146 -23.6095479, -46.6684666 -23.6095866, -46.6684929 -23.6096114, -46.6685107 -23.6096293, -46.6685251 -23.6096505, -46.6685265 -23.6096547, -46.6684694 -23.6097065, -46.6684061 -23.6097639, -46.6683737 -23.6097528))",Eucaliptos,station,station,ECT,subway,yes,,ViaMobilidade Linhas 5 e 17,Q8779010,,,2018-03-02,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,pedestrian,,,,,,,,
"POLYGON ((-46.6248766 -23.5091991, -46.6244997 -23.5092091, -46.6244967 -23.5091066, -46.6248754 -23.5090965, -46.6248685 -23.508655, -46.6250393 -23.5086496, -46.6250513 -23.5090873, -46.6250629 -23.5090875, -46.6251888 -23.5090869, -46.6254302 -23.5090858, -46.6254348 -23.5091869, -46.6250646 -23.5091957, -46.6250531 -23.509196, -46.6250761 -23.5098841, -46.6249021 -23.5098873, -46.6248766 -23.5091991))",Carandiru,station,station,CDU,subway,yes,,Metropolitano de São Paulo,Q5037696,,,1975,,limited,,,,,,,,,São Paulo,Avenida Cruzeiro do Sul,,,,,,,,,,2487,02031-000,,,,,,transportation,,BR,yes,3,yes,"Mo-Fr 00:00-00:26,04:40-24:00; Sa 04:40-24:00; Su 00:00-01:00,04:00-24:00",yes,survey,concrete,no,"Elevador de acesso para pessoas portadoras de deficiência,idosos,gestantes",,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6088386 -23.4872708, -46.6088619 -23.487322, -46.6088871 -23.4873122, -46.6090274 -23.4876196, -46.609179 -23.4875608, -46.6090387 -23.4872533, -46.6090633 -23.4872437, -46.6088283 -23.4867284, -46.608803 -23.4867383, -46.6086619 -23.4864289, -46.60851 -23.4864879, -46.6086508 -23.4867968, -46.6086267 -23.4868062, -46.6088208 -23.4872317, -46.6088386 -23.4872708))",Parada Inglesa,station,station,PIG,subway,yes,,Metropolitano de São Paulo,Q5244856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roof,,,,2,,,,pmsp,,,,15.79,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6289211 -23.5252739, -46.6289932 -23.5253225, -46.6290764 -23.5253769, -46.6291691 -23.5254437, -46.629257 -23.5255093, -46.6293547 -23.5255863, -46.6294373 -23.5256538, -46.6295276 -23.5257324, -46.6295708 -23.525772, -46.6297496 -23.5257144, -46.6297243 -23.5256911, -46.6295703 -23.5255513, -46.6294643 -23.5254631, -46.6292483 -23.5252981, -46.6291195 -23.5252095, -46.6289912 -23.5251259, -46.6289876 -23.5251237, -46.628878 -23.5250572, -46.6288347 -23.525031, -46.628815 -23.5250609, -46.628765 -23.5251367, -46.6287459 -23.5251657, -46.628806 -23.5252024, -46.6288853 -23.5252508, -46.6289211 -23.5252739))",Armênia,station,station,PPQ,subway,yes,Ponte Pequena,Metropolitano de São Paulo,Q5244779,,,1975-09-26,,limited,,,,,,,,,São Paulo,Rua Pedro Vicente,,,,,,,,,,47,,,,,,,transportation,,BR,,2,,"Mo-Fr 00:00-00:26,04:40-24:00; Sa 04:40-24:00; Su 00:00-01:00,04:00-24:00",,pmsp,,yes,,11.47,São Paulo,https://www.facebook.com/metrosp,https://www.flickr.com/photos/metrosp_oficial/,https://www.instagram.com/metrospoficial/,0800-770-7722,@metrosp_oficial,http://www.metro.sp.gov.br/sua-viagem/linha-1-azul/estacao-armenia.aspx,https://www.youtube.com/user/MetrospOficial,4.85,Elevador de acesso para pessoas portadoras de deficiência.,,,,,,,,,,,,,
"POLYGON ((-46.5894187 -23.5432522, -46.5895305 -23.5432749, -46.5895726 -23.5432834, -46.5896376 -23.5429988, -46.5907046 -23.5432109, -46.5907199 -23.5432136, -46.5907405 -23.5431229, -46.5907627 -23.5430253, -46.5896807 -23.5428125, -46.5897364 -23.5425863, -46.5896317 -23.5425651, -46.5895816 -23.5425549, -46.5895296 -23.5427836, -46.5889277 -23.5426627, -46.5889057 -23.5427612, -46.5888865 -23.5428473, -46.5894894 -23.5429681, -46.5894636 -23.5430718, -46.5894513 -23.5431213, -46.5894307 -23.5432039, -46.5894187 -23.5432522))",Belém,station,station,,subway,yes,,Metropolitano de São Paulo,Q4884965,,pt:Estação Belém,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transportation,,,,1,,,,pmsp,,,,12.324,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6212876 -23.5955678, -46.6213634 -23.5957125, -46.6210927 -23.595828, -46.6201413 -23.59625, -46.6200656 -23.5961054, -46.6210184 -23.5956862, -46.6212876 -23.5955678))",Santos - Imigrantes,station,station,IMG,subway,yes,Imigrantes,Metropolitano de São Paulo,Q7420602,,,,http://www.metro.sp.gov.br/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.4446006 -23.4904144, -46.444594 -23.4903632, -46.4444706 -23.4903744, -46.444407 -23.4903802, -46.442711 -23.4905343, -46.44272 -23.490607, -46.442733 -23.4907122, -46.4427383 -23.4907553, -46.4446213 -23.4905741, -46.4446142 -23.4905196, -46.4446006 -23.4904144))",São Miguel Paulista,station,station,,,,,Companhia Paulista de Trens Metropolitanos,Q10276169,,pt:Estação São Miguel Paulista,,,,CPTM,CPTM,yes,,,,,,São Paulo,Rua Beraldo Marcondes,,,,,,,,,,136,,,,,,,train_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.638064 -23.6106423, -46.6382345 -23.6106407, -46.6382384 -23.6105626, -46.6382088 -23.6105629, -46.6380876 -23.6105643, -46.6380634 -23.6105872, -46.638064 -23.6106423))",Estação Praça da Árvore,station,station,,subway,yes,,Metropolitano de São Paulo,Q7239119,,pt:Estação Praça da Árvore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,pmsp,,,,4.94,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.5009322 -23.4855857, -46.4994581 -23.4855827, -46.4994635 -23.4853859, -46.5009313 -23.4854053, -46.5016543 -23.4854022, -46.5016545 -23.4854391, -46.5016548 -23.4854812, -46.5016549 -23.4855162, -46.501655 -23.4855276, -46.5016553 -23.4855825, -46.5009322 -23.4855857))",USP Leste,station,station,,,,,Companhia Paulista de Trens Metropolitanos,Q10276198,,,,,,,CPTM,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6721855 -23.5607911, -46.6721134 -23.5607436, -46.6721027 -23.5607365, -46.6720699 -23.5607149, -46.6719337 -23.5606979, -46.6718328 -23.5607172, -46.6717736 -23.5607808, -46.6716843 -23.5608742, -46.6718722 -23.5610098, -46.6719492 -23.5610835, -46.6719585 -23.5610721, -46.6719937 -23.5610285, -46.6721401 -23.5608473, -46.6721855 -23.5607911))",Oscar Freire,station,station,FRE,subway,yes,,ViaQuatro,Q8779071,,pt:Estação Oscar Freire,2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transportation,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.4224787 -23.4925547, -46.4224866 -23.4926389, -46.4212988 -23.4927541, -46.4213018 -23.4927737, -46.4213049 -23.4927937, -46.4207692 -23.4928586, -46.4207697 -23.4928251, -46.4207711 -23.4928008, -46.4207701 -23.4927236, -46.4207693 -23.4926819, -46.4212801 -23.4926324, -46.4212856 -23.492668, -46.4212863 -23.4926728, -46.4224787 -23.4925547))",,station,station,,,,,Companhia Paulista de Trens Metropolitanos,Q10275890,,pt:Estação Jardim Helena-Vila Mara,,,,,CPTM,yes,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6525606 -23.5485082, -46.6523907 -23.5488087, -46.6523612 -23.5488228, -46.6523199 -23.5488188, -46.6520678 -23.5487295, -46.6522115 -23.5484018, -46.6522278 -23.5484081, -46.6522325 -23.5483964, -46.6525606 -23.5485082))",Estação Higienópolis-Mackenzie,station,station,,subway,yes,,ViaQuatro,Q8779002,,pt:Estação Higienópolis–Mackenzie,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6244637 -23.5166382, -46.6244559 -23.5163286, -46.6244541 -23.5163078, -46.6244517 -23.5162139, -46.6244507 -23.516175, -46.624466 -23.5161747, -46.6244666 -23.5161988, -46.6245575 -23.5161969, -46.6245557 -23.5161274, -46.6245543 -23.5160713, -46.624513 -23.5160721, -46.624508 -23.5157521, -46.6245592 -23.5157511, -46.6246261 -23.5157496, -46.6246708 -23.5157487, -46.624714 -23.5157478, -46.6248901 -23.515744, -46.6248961 -23.5159822, -46.6248965 -23.5159988, -46.6248277 -23.5160002, -46.6248329 -23.5162059, -46.6249176 -23.5162041, -46.6250146 -23.516202, -46.6250643 -23.516201, -46.625045 -23.5155122, -46.6252165 -23.5155081, -46.6252379 -23.5161953, -46.62526 -23.5161949, -46.6253782 -23.5161926, -46.625507 -23.5161901, -46.6255033 -23.5160272, -46.625521 -23.5160269, -46.6255209 -23.5159975, -46.6256001 -23.5159955, -46.6256004 -23.5160049, -46.6256237 -23.5160043, -46.6256235 -23.5160249, -46.6256403 -23.5160138, -46.6256468 -23.5161844, -46.6257384 -23.5161822, -46.6257289 -23.5161983, -46.6257387 -23.5162018, -46.6257389 -23.5162096, -46.6257405 -23.5162766, -46.6256379 -23.5162784, -46.6256395 -23.5163381, -46.6255278 -23.5163398, -46.6254821 -23.5162844, -46.6253811 -23.5162863, -46.6252638 -23.5162886, -46.6252414 -23.516289, -46.6252518 -23.5167484, -46.6250814 -23.5167517, -46.6250667 -23.5162948, -46.6250174 -23.5162958, -46.6249213 -23.5162978, -46.6248379 -23.5162996, -46.624843 -23.5165033, -46.6249116 -23.5165019, -46.6249129 -23.5165523, -46.6249148 -23.5166287, -46.6247697 -23.5166318, -46.6247363 -23.5166325, -46.6246484 -23.5166343, -46.6245808 -23.5166358, -46.6245245 -23.5166369, -46.6244637 -23.5166382))",Portuguesa - Tietê,station,station,TTE,subway,yes,Tietê,Metropolitano de São Paulo,Q7232599,,,,http://www.metro.sp.gov.br/sua-viagem/linha-1-azul/estacao-portuguesa-tiete.aspx,yes,,,,,,,,,São Paulo,Avenida Cruzeiro do Sul,Santana,,,,,,,,,1777,02031-000,,,,,,,,BR,,,,"Mo-Su 00:00-00:30,04:30-24:00; Sa 00:00-01:00,04:30-24:00",,survey,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.5971823 -23.5823278, -46.5970165 -23.5822635, -46.5966984 -23.5829529, -46.5968641 -23.5830171, -46.5971823 -23.5823278))",Estação Ipiranga,station,station,,,,,Metropolitano de São Paulo,Q10275874,,pt:Estação Ipiranga,,,,Linha 15 - Prata (em construcao),,,,,,,,,,,,,,,,,,,,,,yes,,,,train_station,,,,1,,,,,,,,,,,,,,,,,,,2024-10-30,monorail,2027,,,,,,,,,,
"POLYGON ((-46.7219392 -23.6557301, -46.7219136 -23.6559076, -46.7199732 -23.6557729, -46.7200059 -23.6555483, -46.7219392 -23.6557301))",,station,station,,subway,yes,,ViaMobilidade Linhas 5 e 17,Q5244808,,pt:Estação Santo Amaro,,,,,,,,,,,,São Paulo,,,,,,,,,,,,,,,,,,transportation,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.3860649 -23.4850307, -46.3859355 -23.4852412, -46.3852114 -23.4848583, -46.3853439 -23.4846478, -46.3860649 -23.4850307))",Estação Jardim Romano,station,station,,,,,Companhia Paulista de Trens Metropolitanos,Q10275891,,pt:Estação Jardim Romano,,,,,CPTM,yes,,,,,,São Paulo,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6397456 -23.5687587, -46.6397566 -23.5688554, -46.6397067 -23.5688603, -46.6397031 -23.5688294, -46.6396641 -23.5688331, -46.6396566 -23.5687659, -46.6397456 -23.5687587))",,station,station,,subway,yes,,Metropolitano de São Paulo,Q7921287,,pt:Estação Vergueiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6337703 -23.5448117),Metro São Bento,,subway_entrance,,,,,,,,,,,,,,,,,,,,São Paulo,Rua Boa Vista,,,,,,,,,,,01014-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6344153 -23.5440633),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6384007 -23.5485202),,,subway_entrance,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.639675 -23.5474291),,,subway_entrance,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6495462 -23.5390598),Estação Santa Cecília,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6332562 -23.5446867),Metro São Bento,,subway_entrance,,,,,,,,,,,,,,,,,,,,São Paulo,Ladeira Porto Geral,,,,,,,,,,,01022-000,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6416058 -23.6347269),Conceição,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,
POINT (-46.6409326 -23.6351328),Conceição,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6028101 -23.6020127),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6381171 -23.5814798),"Ana Rosa - Linha 1 Azul e 2 Verde - Acesso à Rua Vergueiro, Lado Ímpar",,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5166811 -23.5300442),Acesso B,,subway_entrance,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7150665 -23.5040529),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,customers,,,,,,
POINT (-46.5821249 -23.5843867),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5818545 -23.5845206),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6941088 -23.5672625),Faria Lima,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6934492 -23.5668994),Faria Lima,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4714587 -23.5423226),Corinthians- Itaquera,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6710783 -23.554125),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6521564 -23.5491309),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,São Paulo,Rua da Consolação,,,,,yes,,,,,1161,01301-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6721829 -23.5603623),Estação Oscar Freire,,subway_entrance,,,,,,,,,,,,,,,,,,,,São Paulo,Rua Oscar Freire,,,,,,,,,,1319,05409-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6386319 -23.5815717),Ana Rosa - Linha 1 Azul e 2 Verde - Acesso ao Terminal de Ônibus,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6391892 -23.5816458),Ana Rosa - Linha 1 Azul e 2 Verde - Acesso à Avenida Conselheiro Rodrigues Alves,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6843861 -23.5661156),Fradique Coutinho Oeste,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,,,,,
POINT (-46.6841825 -23.5662935),Fradique Coutinho Leste,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,,,,,
POINT (-46.6384965 -23.5618309),,,subway_entrance,,,,,,,,,,,,,,,,,,,,São Paulo,Avenida da Liberdade,,,,,,,,,,1033,01503-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6601803 -23.5578762),Consolação,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saída ""B""",,,,
POINT (-46.6604548 -23.5581143),Consolação,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saída ""C""",,,,
POINT (-46.6717736 -23.5607808),Estação Oscar Freire,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6333316 -23.5500761),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6319622 -23.5509875),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6425297 -23.5442138),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6427531 -23.5440037),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6421066 -23.5439246),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6438926 -23.5437492),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6439704 -23.5430361),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6381743 -23.5481999),,,subway_entrance,A,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6378919 -23.5478856),,,subway_entrance,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6340132 -23.5440032),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.635246 -23.5436419),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5618279 -23.5824646),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5614655 -23.581711),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6388435 -23.6184282),Saúde - Linha 1 Azul - Acesso Lado Ímpar,,subway_entrance,,,,,,,,,,,,,,,,,,,,São Paulo,Rua São Sebastião,Saúde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6486487 -23.5681099),Metrò Brigadeiro,,subway_entrance,,,,,,,,,,,,,,,,,,,,São Paulo,Avenida Paulista,Jardim Paulista,,,,,,,,,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6375225 -23.6104493),Praça da Árvore - Linha 1 Azul - Acesso Lado Ímpar,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6382088 -23.6105629),Praça da Árvore - Linha 1 Azul - Acesso Lado Par,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6375318 -23.6108658),Praça da Árvore - Linha 1 Azul - Acesso à Praça,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7079268 -23.5711519),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6609756 -23.5576709),Metrô Consolação,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,Avenida Paulista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6607549 -23.5574413),Metro Consolação,,subway_entrance,,,,,,,,,,,,,,,,,,,,São Paulo,Avenida Paulista,,,,,,,,,,2226,01310-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6605712 -23.5580459),Metrô Consolação,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saída ""D""",,,,
POINT (-46.6602852 -23.5578223),Metrô Consolação,,subway_entrance,,,,,,,,,,,,,,,,,,,,São Paulo,Avenida Paulista,,,,,,,,,,2160,01310-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saída ""A""",,,,
POINT (-46.6541252 -23.5632144),Metro Trianon Masp,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,Avenida Paulista,,,,,,,,,,1294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
