geometry,name,public_transport,railway,ref,station,subway,old_name,operator,wikidata,wikimedia_commons,wikipedia,start_date,website,wheelchair,network,operator:short,train,network:short,network:wikidata,name:ja,name:pt,toilets:wheelchair,addr:city,addr:street,addr:suburb,operator:wikidata,internet_access,gtfs_id,construction,name:etymology:wikidata,short_name,alt_name,bicycle,addr:housenumber,addr:postcode,official_name,monorail,fixme,platforms,source:alt_name,building,planned,addr:country,bench,layer,lit,opening_hours,shelter,source,surface,toilets,wheelchair:description,height,addr:state,contact:facebook,contact:flickr,contact:instagram,contact:phone,contact:twitter,contact:website,contact:youtube,min_height,wheelchair:description:pt,check_date,construction:railway,opening_date,type,highway,waterway,access,entrance,description,is_in,level,departures_board,elevator
POINT (-46.7884264 -23.4044763),Corredor,,station,,,,,,,,,,https://www.estacoesferroviarias.com.br/c/corredor.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6621333 -23.603776),Moema,station,station,MOE,subway,yes,,ViaMobilidade Linhas 5 e 17,Q6890218,Category:Moema (São Paulo Metro),pt:Estação Moema,2018-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5155569 -23.6029647),Vila União,station,station,VUN,,,,Metropolitano de São Paulo,Q18475867,Category:Vila União (São Paulo Metro),pt:Estação Vila União (Metrô de São Paulo),2018-04-06,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5272167 -23.6008345),Vila Tolstói,station,station,VTL,,,,Metropolitano de São Paulo,Q18475862,Category:Vila Tolstói (São Paulo Metro),pt:Estação Vila Tolstói,2018-04-06,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5375762 -23.5955395),Camilo Haddad,station,station,CAD,,,,Metropolitano de São Paulo,Q18475274,Category:Camilo Haddad (São Paulo Metro),pt:Estação Camilo Haddad,2018-04-06,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5446352 -23.5889345),São Lucas,station,station,SLU,,,,Metropolitano de São Paulo,Q18475809,Category:São Lucas (São Paulo Metro),pt:Estação São Lucas,2018-04-06,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6523883 -23.5978482),AACD – Servidor,station,station,SER,subway,yes,,ViaMobilidade Linhas 5 e 17,Q5908613,Category:AACD - Servidor (São Paulo Metro),pt:Estação AACD-Servidor,2018-08-31,,,Linha 5 - Lilás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6455913 -23.5983833),Hospital São Paulo,station,station,HSP,subway,yes,,ViaMobilidade Linhas 5 e 17,Q7929982,Category:Hospital São Paulo (São Paulo Metro),pt:Estação Hospital São Paulo,2018-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7239121 -23.5861368),São Paulo – Morumbi,station,station,MBI,subway,yes,Morumbi,ViaQuatro,Q9290828,Category:São Paulo–Morumbi (São Paulo Metro),pt:Estação São Paulo-Morumbi,2018-10-27,,,,,,,,,,,,,,,,,,,,São Paulo-Morumbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6370429 -23.5984141),Santa Cruz,station,station,SCZ,subway,yes,,ViaMobilidade Linhas 5 e 17,Q7419392,Category:Santa Cruz (São Paulo Metro),pt:Estação Santa Cruz (Metrô de São Paulo),2018-09-28,,yes,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
