geometry,direction,highway,leisure,natural,access,name,addr:housenumber,addr:street,description,fee,tourism,garden:type,addr:city,gtfs_id,network:short,public_transport:version,route_ref,wheelchair,garden:style,addr:postcode,addr:suburb,opening_hours,operator,operator:type,dog,nohousenumber,park:type,short_name,note,old_name,place,wikidata,wikimedia_commons,wikipedia,barrier,related_law,start_date,surface,internet_access,internet_access:fee,internet_access:operator,operator:wikidata,ownership,phone,website,grass,landuse,name:pt,layer,alt_name,contact:phone,contact:website,official_name,GNS:id,name:en,name:es,source,man_made,contact:email,contact:facebook,contact:twitter,contact:youtube,loc_name,opening_hours:covid19,name:it,name:ja,name:tr,wikipedia:pt,amenity,community_centre,footway,hotspot,toilets:wheelchair,tree,sport,park_type,addr:country,animal,name:etymology:wikidata,foot,is_in:city,is_in:country,is_in:country_code,is_in:iso_3166_2,name:ar,name:fr,name:id,name:ja-Hira,name:ko,name:ru,name:vi,name:zh,wikipedia:en,ele,square,club,location,substation,addr:state,denomination,diocese,email,heritage,heritage:operator,historic,iphan:classification,iphan:inscription_date,iphan:status,iphan:tombo,monastery:type,ref:iphan,religion,parking,owner,owner:wikidata,check_date:opening_hours,disused:garden:type,disused:leisure,postal_code,smoking,check_date,boundary,governance_type,protect_class,protection_title,source:name,addr:full,fax,height,lit,fixme,building,shop,toilets,area:highway,lg_nome,lg_tipo,lg_prep,lg_titulo,level,grassland,official_name:en,park_ride,junction,park,fence_type,related_law:url,abandoned,leaf_type,noname,addr:district,area,width,leaf_cycle,plant,plants,urban,denotation,architect,fitness_station,ruins,heating,proposed:landuse,type,bicycle,horse,name:etymology,old_website,site,traffic_calming,note:2,playground
POINT (-46.636873 -23.5715134),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6368394 -23.5714986),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6368059 -23.5714839),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.636771 -23.5714691),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6367388 -23.5714532),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.636999 -23.5709406),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6370178 -23.5709492),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6370352 -23.570959),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.637054 -23.5709688),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6370701 -23.5709738),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6371063 -23.5709885),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6371264 -23.5709984),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6371465 -23.5710082),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6371667 -23.5710156),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6371828 -23.5710229),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6372123 -23.5710315),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6372337 -23.5710438),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6372552 -23.5710524),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6372753 -23.571061),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6367506 -23.5711528),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.684462 -23.693122),,,park,,,"Rua Miguel Yunes, 743",,,Ref.: Rua Zacarias D'aca,,,,São Paulo,1603329,SPTrans,2,627M-10;N631-11;6026-10;607A-21;675M-10,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6499374 -23.5641662),,,garden,,,Horta Edifício Cristália,267,Alameda Ribeirão Preto,,,,community,,,,,,,herb_garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
