geometry,direction,highway,leisure,natural,access,name,addr:housenumber,addr:street,description,fee,tourism,garden:type,addr:city,gtfs_id,network:short,public_transport:version,route_ref,wheelchair,garden:style,addr:postcode,addr:suburb,opening_hours,operator,operator:type,dog,nohousenumber,park:type,short_name,note,old_name,place,wikidata,wikimedia_commons,wikipedia,barrier,related_law,start_date,surface,internet_access,internet_access:fee,internet_access:operator,operator:wikidata,ownership,phone,website,grass,landuse,name:pt,layer,alt_name,contact:phone,contact:website,official_name,GNS:id,name:en,name:es,source,man_made,contact:email,contact:facebook,contact:twitter,contact:youtube,loc_name,opening_hours:covid19,name:it,name:ja,name:tr,wikipedia:pt,amenity,community_centre,footway,hotspot,toilets:wheelchair,tree,sport,park_type,addr:country,animal,name:etymology:wikidata,foot,is_in:city,is_in:country,is_in:country_code,is_in:iso_3166_2,name:ar,name:fr,name:id,name:ja-Hira,name:ko,name:ru,name:vi,name:zh,wikipedia:en,ele,square,club,location,substation,addr:state,denomination,diocese,email,heritage,heritage:operator,historic,iphan:classification,iphan:inscription_date,iphan:status,iphan:tombo,monastery:type,ref:iphan,religion,parking,owner,owner:wikidata,check_date:opening_hours,disused:garden:type,disused:leisure,postal_code,smoking,check_date,boundary,governance_type,protect_class,protection_title,source:name,addr:full,fax,height,lit,fixme,building,shop,toilets,area:highway,lg_nome,lg_tipo,lg_prep,lg_titulo,level,grassland,official_name:en,park_ride,junction,park,fence_type,related_law:url,abandoned,leaf_type,noname,addr:district,area,width,leaf_cycle,plant,plants,urban,denotation,architect,fitness_station,ruins,heating,proposed:landuse,type,bicycle,horse,name:etymology,old_website,site,traffic_calming,note:2,playground
POINT (-46.6373008 -23.571077),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.637282 -23.571109),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6372646 -23.5711483),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6372471 -23.5711852),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.637231 -23.5712233),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6372123 -23.5712503),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6371935 -23.5712884),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6371841 -23.5713143),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.637168 -23.5713597),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6371506 -23.5713843),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6371372 -23.5714187),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.637117 -23.5714507),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6371009 -23.571479),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6370849 -23.5715109),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6370647 -23.5715466),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6370433 -23.571581),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6370057 -23.5715662),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6369668 -23.571549),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.636932 -23.5715367),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6369011 -23.5715232),,,garden,,yes,,,,,no,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
