preco,condominio,iptu,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta,vagas_garagem,bairro,tipo_imovel,preco_m2,endereco_geo,lat,lon,nivel_geocoding
5100.0,1200.0,200.0,Rua Doutor Eduardo de Souza Aranha,"Flat para alugar com 44 m², 1 quarto, 1 banheiro, 1 vaga emVila Nova Conceição, São Paulo",1.0,1,44.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-nova-conceicao-sao-paulo-44m2-id-2853401212/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Vila Nova Conceição,Flat,115.9090909090909,"Vila Nova Conceição, São Paulo, SP, Brasil",,,falhou
3840.0,1310.0,150.0,Rua Leopoldo Couto Magalhães Júnior,"Flat para alugar com 45 m², 1 quarto, 1 banheiro, 1 vaga emItaim Bibi, São Paulo",1.0,1,45.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-sao-paulo-45m2-id-2829168014/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Itaim Bibi,Flat,85.33333333333333,"Rua Leopoldo Couto Magalhães Júnior, Itaim Bibi, São Paulo, SP, Brasil",-23.5892049,-46.6839228,rua_bairro
7000.0,708.0,535.0,Rua Alonso Calhamares,"Apartamento para alugar com 75 m², 2 quartos, 2 banheiros, 2 vagas emJardim Anália Franco, São Paulo",2.0,2,75.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-cozinha-jardim-analia-franco-sao-paulo-75m2-id-2791680538/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,2.0,Jardim Anália Franco,Apartamento,93.33333333333333,"Rua Alonso Calhamares, Jardim Anália Franco, São Paulo, SP, Brasil",-23.5537957,-46.5667792,rua_bairro
3620.0,1500.0,380.0,Rua Tenente Negrão,"Flat para alugar com 36 m², 1 quarto, 1 banheiro, 1 vaga emItaim Bibi, São Paulo",1.0,1,36.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-sao-paulo-36m2-id-2857401161/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Itaim Bibi,Flat,100.55555555555556,"Rua Tenente Negrão, Itaim Bibi, São Paulo, SP, Brasil",-23.5852244,-46.6712926,rua_bairro
2610.0,1550.0,140.0,Avenida Rouxinol,"Flat para alugar com 42 m², 1 quarto, 1 banheiro, 1 vaga emIndianópolis, São Paulo",1.0,1,42.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-indianopolis-sao-paulo-42m2-id-2853839834/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Indianópolis,Flat,62.142857142857146,"Avenida Rouxinol, Indianópolis, São Paulo, SP, Brasil",-23.6067697,-46.6662101,rua_bairro
3020.0,1000.0,200.0,Avenida Rouxinol,"Flat para alugar com 42 m², 1 quarto, 1 banheiro, 1 vaga emIndianópolis, São Paulo",1.0,1,42.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-indianopolis-sao-paulo-42m2-id-2853839313/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Indianópolis,Flat,71.9047619047619,"Avenida Rouxinol, Indianópolis, São Paulo, SP, Brasil",-23.6067697,-46.6662101,rua_bairro
22000.0,5800.0,2000.0,Rua Ceará,"Apartamento para alugar com 230 m², 3 quartos, 3 banheiros, 3 vagas emConsolação, São Paulo",3.0,3,230.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-consolacao-sao-paulo-230m2-id-2842761932/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,3.0,Consolação,Apartamento,95.65217391304348,"Rua Ceará, Consolação, São Paulo, SP, Brasil",-23.5467704,-46.6614616,rua_bairro
2310.0,780.0,110.0,Rua da Consolação,"Flat para alugar com 30 m², 1 quarto, 1 banheiro, 1 vaga emCerqueira César, São Paulo",1.0,1,30.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-com-churrasqueira-cerqueira-cesar-sao-paulo-30m2-id-2853400351/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Cerqueira César,Flat,77.0,"Rua da Consolação, Cerqueira César, São Paulo, SP, Brasil",-23.560858,-46.6684232,rua_bairro
4350.0,1000.0,150.0,Rua Pedroso Alvarenga,"Flat para alugar com 33 m², 1 quarto, 1 banheiro, 1 vaga emItaim Bibi, São Paulo",1.0,1,33.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-sao-paulo-33m2-id-2855759831/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Itaim Bibi,Flat,131.8181818181818,"Rua Pedroso Alvarenga, Itaim Bibi, São Paulo, SP, Brasil",-23.5820241,-46.6791807,rua_bairro
4255.0,1475.0,370.0,Rua Coronel Artur de Paula Ferreira,"Flat para alugar com 56 m², 1 quarto, 1 banheiro, 1 vaga emVila Nova Conceição, São Paulo",1.0,1,56.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-nova-conceicao-sao-paulo-56m2-id-2853465698/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Vila Nova Conceição,Flat,75.98214285714286,"Vila Nova Conceição, São Paulo, SP, Brasil",,,falhou
