geometry,amenity,name,addr:housenumber,addr:postcode,addr:street,source,source_ref,postal_code,addr:city,addr:suburb,ele,operator,name:pt,phone,building,alt_name,operator:type,owner,ownership,short_name,website,wikipedia,internet_access,name:en,wikidata,building:levels,contact:facebook,network,training,type,tipo_escola,geometry_std
POINT (-50.2079441 -25.0654794),school,Escola Municipal Professora Maria Antonia Andrade,109,,Rua São Mário,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.2079441 -25.0654794)
POINT (-50.2484222 -25.0417906),college,Colégio Estadual Frei Doroteu de Pádua,1703,84064-530,Rua Rio Amazonas,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.2484222 -25.0417906)
POINT (-50.1308389 -25.0929083),school,Escola Municipal Eno Teodoro Wanke,2145,84025-000,Avenida General Carlos Cavalcanti,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1308389 -25.0929083)
POINT (-50.1681766 -25.0770948),school,Escola Municipal Catarina Miró,1187,84070-270,Rua Júlia Lopes,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1681766 -25.0770948)
POINT (-50.1297907 -25.0788628),school,Escola Municipal Prefeito Doutor Plauto Miró Guima,2730,84020-360,Rua Almirante Barroso,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1297907 -25.0788628)
POINT (-50.1326217 -25.110573),school,Escola Municipal Prefeito Major Manoel Vicente Bit,110,84026-360,Rua Querência do Norte,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1326217 -25.110573)
POINT (-50.1004955 -25.1065421),school,Escola Municipal Doutor Carlos Ribeiro de Macedo,1383,84032-000,Avenida Euzébio de Queiróz,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1004955 -25.1065421)
POINT (-50.1635999 -25.1106646),school,Escola Municipal Humberto Cordeiro,740,,Rua Lopes Trovão,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1635999 -25.1106646)
POINT (-50.1773924 -25.0855564),school,Escola Estadual Professor Amálio Pinheiro,,,Praça Getúlio Vargas,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,84070-550,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1773924 -25.0855564)
POINT (-50.121366 -25.0668816),school,Escola Municipal Prefeito Engenheiro Eurico Batist,103,84001-970,Rua José Ferreira Menezes,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.121366 -25.0668816)
POINT (-50.1061547 -25.129416),school,Escola Municipal Doutor Edgar Sponholz,12,84033-000,Rua Cedrilho,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1061547 -25.129416)
POINT (-50.1481147 -25.113786),school,Escola Municipal Prefeito Theodoro Batista Rosas,10,84035-490,Rua Doutor Carlos Deszaunet Netto,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1481147 -25.113786)
POINT (-50.1098143 -25.1084432),college,Colégio Estadual Padre Arnaldo Jansen,,,Rua Ana Gnatta Borsato,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,84032-000,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1098143 -25.1084432)
